artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-MOTIF-NATIVE-ORIENT-LINK-LEAN-v1-3,RA_MotifNativeOrientationLinkDerivation.lean,lean,lean_build_confirmed_no_sorry_no_admit_no_axiom,formalization_module,RA-MOTIF-NATIVE-ORIENT-LINK-001,src/RA_AQFT/RA_MotifNativeOrientationLinkDerivation.lean,76056374f9ff2ace0946311834fe179241f99e6399be68201ea9cb9a2685358c,c66aa8c7e35635d8bc2a1d168171285cb23c35a4,src/RA_AQFT/RA_MotifNativeOrientationLinkDerivation.lean,Tier-B Lean module; lake build closed 8278/8278 jobs ~65s with 0 sorry/admit/axiom. Installed SHA differs from packet original (80c8329e...) due to three compile-blocking fixes. (1) orientationEvidence -> orientationComponent (field-name mismatch with v1.0 module; same fix as v1.2). (2) DAGNativeCertificateComponentContext G Γ M F Ξ Ω -> DAGNativeCertificateComponentContext Ω (only Ω is explicit in v1.0; same fix as v1.2). (3) Dropped imports of RA_CausalOrientation_Core / RA_D1_NativeLedgerOrientation / RA_D1_NativeClosure due to a transitive chainScore duplicate-definition conflict (RA_D1_Core line 80 and RA_D1_NativeKernel line 32 both define chainScore; loading both transitive chains together fails with environment already contains chainScore.match_1). The dropped imports are documentary; the v1.3 structure only declares Type-valued evidence and Prop placeholders that do not depend on those modules' content. The chainScore upstream conflict is a known recurring import hazard that should be flagged in CLAUDE.md.,active RAKB v0.5 14-column artifact upsert,src/RA_AQFT/RA_MotifNativeOrientationLinkDerivation.lean,formalization_module
ART-SIM-NATIVE-ORIENT-LINK-ANALYSIS-v1-3,ra_native_orientation_link_derivation.py,py,canonical_run_confirmed,analysis_source,RA-SIM-NATIVE-ORIENT-LINK-001;RA-SIM-NATIVE-ORIENT-LINK-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/analysis/ra_native_orientation_link_derivation.py,4fb2abec7c1ad20d0cabaea3bb768de62d3d955721c3bad8a19131725a3843bd,c66aa8c7e35635d8bc2a1d168171285cb23c35a4,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/analysis/ra_native_orientation_link_derivation.py,Parses Lean source files to build a native orientation theorem/sign-source catalog and synthesizes orientation_link_overlap from catalog entries; installed SHA matches packet original.,active RAKB v0.5 14-column artifact upsert,analysis/ra_native_orientation_link_derivation.py,analysis_source
ART-SIM-NATIVE-ORIENT-LINK-RUNSCRIPT-v1-3,run_native_orientation_derivation_v1_3.py,py,canonical_run_confirmed,analysis_source,RA-SIM-NATIVE-ORIENT-LINK-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/scripts/run_native_orientation_derivation_v1_3.py,a259ee7993e608319c38996e5cb0465d5b4828db7cdbae3d6f75181292d94c76,c66aa8c7e35635d8bc2a1d168171285cb23c35a4,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/scripts/run_native_orientation_derivation_v1_3.py,CLI wrapper.,active RAKB v0.5 14-column artifact upsert,scripts/run_native_orientation_derivation_v1_3.py,analysis_source
ART-SIM-NATIVE-ORIENT-LINK-REPORT-v1-3,RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_Report_May05_2026.md,md,canonical_run_confirmed,formal_bridge_report,RA-MOTIF-NATIVE-ORIENT-LINK-001;RA-SIM-NATIVE-ORIENT-LINK-001;RA-SIM-NATIVE-ORIENT-LINK-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_Report_May05_2026.md,e8a3c482b9dbdbb10a400eef366e13ddf18ee2f8313412db697d1b580baeb094,c66aa8c7e35635d8bc2a1d168171285cb23c35a4,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_Report_May05_2026.md,Packet narrative report.,active RAKB v0.5 14-column artifact upsert,reports/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_Report_May05_2026.md,formal_bridge_report
ART-SIM-NATIVE-ORIENT-LINK-BRIDGE-v1-3,simulator_to_lean_native_orientation_derivation_v1_3.md,md,canonical_run_confirmed,bridge_mapping,RA-MOTIF-NATIVE-ORIENT-LINK-001;RA-SIM-NATIVE-ORIENT-LINK-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/bridge/simulator_to_lean_native_orientation_derivation_v1_3.md,c8bc755ee3d7f15340f5c968f71e3c416a8c6b10705ea1884f5ee8199f96b808,c66aa8c7e35635d8bc2a1d168171285cb23c35a4,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/bridge/simulator_to_lean_native_orientation_derivation_v1_3.md,Simulator-to-Lean mapping for native orientation-link catalog.,active RAKB v0.5 14-column artifact upsert,bridge/simulator_to_lean_native_orientation_derivation_v1_3.md,bridge_mapping
ART-SIM-NATIVE-ORIENT-LINK-VALIDATION-v1-3,validation_unittest_v1_3.log,log,canonical_run_confirmed,validation_log,RA-SIM-NATIVE-ORIENT-LINK-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/reports/validation_unittest_v1_3.log,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,c66aa8c7e35635d8bc2a1d168171285cb23c35a4,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/reports/validation_unittest_v1_3.log,4 unit tests covering manifest_extracts_native_orientation_names / native_orientation_surface_decouples_from_support / partial_correlation_detects_independent_native_surface / end_to_end_outputs. All pass.,active RAKB v0.5 14-column artifact upsert,reports/validation_unittest_v1_3.log,validation_log
ART-SIM-NATIVE-ORIENT-LINK-SOURCE-AUDIT-v1-3,source_audit_RA_CausalDAG_MotifCommitSimulator_v1_3_May05_2026.log,log,generated_source_audit,source_audit,RA-MOTIF-NATIVE-ORIENT-LINK-001;RA-SIM-NATIVE-ORIENT-LINK-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_3_May05_2026.log,7b9f9c514099ac9f7d3b288efd28d0ca2908d219e7b7e0fa2b6a6cf6eda80e07,c66aa8c7e35635d8bc2a1d168171285cb23c35a4,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_3_May05_2026.log,Source audit log.,active RAKB v0.5 14-column artifact upsert,reports/source_audit_RA_CausalDAG_MotifCommitSimulator_v1_3_May05_2026.log,source_audit
ART-SIM-NATIVE-ORIENT-LINK-MANIFEST-v1-3,ra_native_orientation_theorem_manifest_v1_3.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-ORIENT-LINK-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/outputs/ra_native_orientation_theorem_manifest_v1_3.csv,562f8e08f86d16e38d03e6026129a90d3dbf95577071057eb739343ed3745547,c66aa8c7e35635d8bc2a1d168171285cb23c35a4,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/outputs/ra_native_orientation_theorem_manifest_v1_3.csv,Native theorem catalog: declarations parsed from RA_CausalOrientation_Core / RA_D1_NativeLedgerOrientation / RA_D1_NativeClosure / etc. with role tags + weights.,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_orientation_theorem_manifest_v1_3.csv,analysis_output
ART-SIM-NATIVE-ORIENT-LINK-SURFACE-CSV-v1-3,ra_native_orientation_link_surface_v1_3.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-ORIENT-LINK-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/outputs/ra_native_orientation_link_surface_v1_3.csv,a2cfe2c0b655d1d160ae78ad062b8c86f92bfd2239d70732d028584ff0134ee6,c66aa8c7e35635d8bc2a1d168171285cb23c35a4,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/outputs/ra_native_orientation_link_surface_v1_3.csv,"Catalog-derived native_orientation_link_overlap surface (480 rows; mean 0.41-0.50 by mode, distinct from triplet 0.74 and bundle 0.76-0.86).",active RAKB v0.5 14-column artifact upsert,outputs/ra_native_orientation_link_surface_v1_3.csv,analysis_output
ART-SIM-NATIVE-ORIENT-LINK-DECOUPLING-v1-3,ra_native_orientation_support_decoupling_audit_v1_3.csv,csv,canonical_run_validated,analysis_output,RA-SIM-NATIVE-ORIENT-LINK-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/outputs/ra_native_orientation_support_decoupling_audit_v1_3.csv,5e7cfd2b76b239cab914230284c248d39051901522e6616d2bd9d6a45a30d5ac,c66aa8c7e35635d8bc2a1d168171285cb23c35a4,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_3_NativeOrientationLinkDerivation_May05_2026/outputs/ra_native_orientation_support_decoupling_audit_v1_3.csv,Native-orientation vs support decoupling table; max_abs_diff 0.71-0.96 by mode (vs old triplet 0.0).,active RAKB v0.5 14-column artifact upsert,outputs/ra_native_orientation_support_decoupling_audit_v1_3.csv,analysis_output
