row_id,mode,family_semantics,severity,threshold_fraction,support_width,family_size,samples,support_overlap,frontier_overlap,legacy_orientation_overlap,support_frontier_overlap,per_graph_orientation_link_overlap,per_graph_orientation_link_bin,support_frontier_bin,certification_rescue_rate,per_graph_orientation_adjusted_rescue_rate,orientation_overlap_source
0,ledger_failure,at_least_k,0.0,0.25,1,10,1054,1.0,1.0,1.0,1.0,0.37169312169312174,medium,high,0.0,0.02513227513227513,per_graph_member_witness_tokens
1,ledger_failure,at_least_k,0.0,0.25,2,10,430,0.333333,0.333333,0.333333,0.333333,0.3637566137566138,medium,low,0.0,0.02544973544973545,per_graph_member_witness_tokens
2,ledger_failure,at_least_k,0.0,0.25,3,10,476,0.333333,0.333333,0.333333,0.333333,0.2001763668430335,low,low,0.0,0.03199294532627866,per_graph_member_witness_tokens
3,ledger_failure,at_least_k,0.0,0.25,4,10,440,0.333333,0.333333,0.333333,0.333333,0.17857142857142855,low,low,0.0,0.032857142857142856,per_graph_member_witness_tokens
4,ledger_failure,at_least_k,0.0,0.5,1,10,1054,1.0,1.0,1.0,1.0,0.37910052910052905,medium,high,0.0,0.02483597883597884,per_graph_member_witness_tokens
5,ledger_failure,at_least_k,0.0,0.5,2,10,430,0.333333,0.333333,0.333333,0.333333,0.36507936507936506,medium,low,0.0,0.025396825396825397,per_graph_member_witness_tokens
6,ledger_failure,at_least_k,0.0,0.5,3,10,476,0.5,0.5,0.5,0.5,0.19104377104377102,low,medium,0.0,0.03235824915824916,per_graph_member_witness_tokens
7,ledger_failure,at_least_k,0.0,0.5,4,10,440,0.436364,0.436364,0.436364,0.436364,0.1783838383838384,low,medium,0.0,0.032864646464646464,per_graph_member_witness_tokens
8,ledger_failure,at_least_k,0.0,0.75,1,10,1054,1.0,1.0,1.0,1.0,0.3611111111111111,medium,high,0.0,0.025555555555555554,per_graph_member_witness_tokens
9,ledger_failure,at_least_k,0.0,0.75,2,10,430,1.0,1.0,1.0,1.0,0.36904761904761907,medium,high,0.0,0.025238095238095237,per_graph_member_witness_tokens
10,ledger_failure,at_least_k,0.0,0.75,3,10,476,1.0,1.0,1.0,1.0,0.19009065009065004,low,high,0.0,0.032396373996373996,per_graph_member_witness_tokens
11,ledger_failure,at_least_k,0.0,0.75,4,10,440,0.6,0.6,0.6,0.6,0.2004610204610204,low,medium,0.0,0.031981559181559184,per_graph_member_witness_tokens
12,ledger_failure,at_least_k,0.0,1.0,1,10,1054,1.0,1.0,1.0,1.0,0.3611111111111111,medium,high,0.0,0.025555555555555554,per_graph_member_witness_tokens
13,ledger_failure,at_least_k,0.0,1.0,2,10,430,1.0,1.0,1.0,1.0,0.3743386243386243,medium,high,0.0,0.02502645502645503,per_graph_member_witness_tokens
14,ledger_failure,at_least_k,0.0,1.0,3,10,476,1.0,1.0,1.0,1.0,0.2074954674954675,low,high,0.0,0.031700181300181304,per_graph_member_witness_tokens
15,ledger_failure,at_least_k,0.0,1.0,4,10,440,1.0,1.0,1.0,1.0,0.1867066267066267,low,high,0.0,0.03253173493173493,per_graph_member_witness_tokens
16,ledger_failure,at_least_k,0.25,0.25,1,10,1054,1.0,1.0,1.0,1.0,0.36507936507936506,medium,high,0.0,0.0380952380952381,per_graph_member_witness_tokens
17,ledger_failure,at_least_k,0.25,0.25,2,10,430,0.333333,0.333333,0.333333,0.333333,0.36904761904761896,medium,low,0.134884,0.03785714285714287,per_graph_member_witness_tokens
18,ledger_failure,at_least_k,0.25,0.25,3,10,476,0.333333,0.333333,0.333333,0.333333,0.21693121693121686,low,low,0.136555,0.04698412698412699,per_graph_member_witness_tokens
19,ledger_failure,at_least_k,0.25,0.25,4,10,440,0.333333,0.333333,0.333333,0.333333,0.18342151675485008,low,low,0.168182,0.048994708994708994,per_graph_member_witness_tokens
20,ledger_failure,at_least_k,0.25,0.5,1,10,1054,1.0,1.0,1.0,1.0,0.3703703703703703,medium,high,0.0,0.037777777777777785,per_graph_member_witness_tokens
21,ledger_failure,at_least_k,0.25,0.5,2,10,430,0.333333,0.333333,0.333333,0.333333,0.3751322751322751,medium,low,0.134884,0.03749206349206349,per_graph_member_witness_tokens
22,ledger_failure,at_least_k,0.25,0.5,3,10,476,0.5,0.5,0.5,0.5,0.20141414141414143,low,medium,0.086134,0.047915151515151515,per_graph_member_witness_tokens
23,ledger_failure,at_least_k,0.25,0.5,4,10,440,0.436364,0.436364,0.436364,0.436364,0.21387205387205394,low,medium,0.104545,0.04716767676767676,per_graph_member_witness_tokens
24,ledger_failure,at_least_k,0.25,0.75,1,10,1054,1.0,1.0,1.0,1.0,0.3822751322751322,medium,high,0.0,0.03706349206349207,per_graph_member_witness_tokens
25,ledger_failure,at_least_k,0.25,0.75,2,10,430,1.0,1.0,1.0,1.0,0.3637566137566138,medium,high,0.0,0.03817460317460318,per_graph_member_witness_tokens
26,ledger_failure,at_least_k,0.25,0.75,3,10,476,1.0,1.0,1.0,1.0,0.18646464646464642,low,high,0.0,0.04881212121212121,per_graph_member_witness_tokens
27,ledger_failure,at_least_k,0.25,0.75,4,10,440,0.6,0.6,0.6,0.6,0.18468790468790466,low,medium,0.075,0.04891872571872572,per_graph_member_witness_tokens
28,ledger_failure,at_least_k,0.25,1.0,1,10,1054,1.0,1.0,1.0,1.0,0.35317460317460314,medium,high,0.0,0.03880952380952381,per_graph_member_witness_tokens
29,ledger_failure,at_least_k,0.25,1.0,2,10,430,1.0,1.0,1.0,1.0,0.3955026455026454,medium,high,0.0,0.03626984126984128,per_graph_member_witness_tokens
30,ledger_failure,at_least_k,0.25,1.0,3,10,476,1.0,1.0,1.0,1.0,0.19009065009065004,low,high,0.0,0.048594560994561,per_graph_member_witness_tokens
31,ledger_failure,at_least_k,0.25,1.0,4,10,440,1.0,1.0,1.0,1.0,0.19951159951159944,low,high,0.0,0.048029304029304026,per_graph_member_witness_tokens
32,ledger_failure,at_least_k,0.5,0.25,1,10,1054,1.0,1.0,1.0,1.0,0.35846560846560843,medium,high,0.0,0.05132275132275133,per_graph_member_witness_tokens
33,ledger_failure,at_least_k,0.5,0.25,2,10,430,0.333333,0.333333,0.333333,0.333333,0.38359788359788355,medium,low,0.25814,0.04931216931216932,per_graph_member_witness_tokens
34,ledger_failure,at_least_k,0.5,0.25,3,10,476,0.333333,0.333333,0.333333,0.333333,0.21119929453262784,low,low,0.287815,0.06310405643738977,per_graph_member_witness_tokens
35,ledger_failure,at_least_k,0.5,0.25,4,10,440,0.333333,0.333333,0.333333,0.333333,0.1706349206349206,low,low,0.272727,0.06634920634920635,per_graph_member_witness_tokens
36,ledger_failure,at_least_k,0.5,0.5,1,10,1054,1.0,1.0,1.0,1.0,0.37910052910052905,medium,high,0.0,0.04967195767195768,per_graph_member_witness_tokens
37,ledger_failure,at_least_k,0.5,0.5,2,10,430,0.333333,0.333333,0.333333,0.333333,0.35978835978835977,medium,low,0.25814,0.051216931216931216,per_graph_member_witness_tokens
38,ledger_failure,at_least_k,0.5,0.5,3,10,476,0.5,0.5,0.5,0.5,0.23501683501683499,low,medium,0.168067,0.061198653198653204,per_graph_member_witness_tokens
39,ledger_failure,at_least_k,0.5,0.5,4,10,440,0.436364,0.436364,0.436364,0.436364,0.1806060606060606,low,medium,0.243182,0.06555151515151515,per_graph_member_witness_tokens
40,ledger_failure,at_least_k,0.5,0.75,1,10,1054,1.0,1.0,1.0,1.0,0.3650793650793651,medium,high,0.0,0.050793650793650794,per_graph_member_witness_tokens
41,ledger_failure,at_least_k,0.5,0.75,2,10,430,1.0,1.0,1.0,1.0,0.38756613756613756,medium,high,0.0,0.048994708994708994,per_graph_member_witness_tokens
42,ledger_failure,at_least_k,0.5,0.75,3,10,476,1.0,1.0,1.0,1.0,0.22603643270309937,low,high,0.0,0.061917085383752055,per_graph_member_witness_tokens
43,ledger_failure,at_least_k,0.5,0.75,4,10,440,0.6,0.6,0.6,0.6,0.19821289821289814,low,medium,0.172727,0.06414296814296815,per_graph_member_witness_tokens
44,ledger_failure,at_least_k,0.5,1.0,1,10,1054,1.0,1.0,1.0,1.0,0.36772486772486773,medium,high,0.0,0.05058201058201059,per_graph_member_witness_tokens
45,ledger_failure,at_least_k,0.5,1.0,2,10,430,1.0,1.0,1.0,1.0,0.37962962962962976,medium,high,0.0,0.04962962962962962,per_graph_member_witness_tokens
46,ledger_failure,at_least_k,0.5,1.0,3,10,476,1.0,1.0,1.0,1.0,0.1979590779590779,low,high,0.0,0.06416327376327377,per_graph_member_witness_tokens
47,ledger_failure,at_least_k,0.5,1.0,4,10,440,1.0,1.0,1.0,1.0,0.20504680504680503,low,high,0.0,0.06359625559625559,per_graph_member_witness_tokens
48,ledger_failure,at_least_k,0.75,0.25,1,10,1054,1.0,1.0,1.0,1.0,0.37645502645502654,medium,high,0.0,0.062354497354497336,per_graph_member_witness_tokens
49,ledger_failure,at_least_k,0.75,0.25,2,10,430,0.333333,0.333333,0.333333,0.333333,0.4113756613756614,medium,low,0.162791,0.058862433862433866,per_graph_member_witness_tokens
50,ledger_failure,at_least_k,0.75,0.25,3,10,476,0.333333,0.333333,0.333333,0.333333,0.20105820105820102,low,low,0.384454,0.07989417989417989,per_graph_member_witness_tokens
51,ledger_failure,at_least_k,0.75,0.25,4,10,440,0.333333,0.333333,0.333333,0.333333,0.18694885361552024,low,low,0.438636,0.08130511463844797,per_graph_member_witness_tokens
52,ledger_failure,at_least_k,0.75,0.5,1,10,1054,1.0,1.0,1.0,1.0,0.3611111111111111,medium,high,0.0,0.06388888888888888,per_graph_member_witness_tokens
