mode,family_semantics,support_frontier_bin,orientation_bins,bin_count,rescue_gap_low_or_med_minus_high,status
ledger_failure,at_least_k,high,low;medium,2,0.014141095201095195,matched_orientation_variation_available
ledger_failure,at_least_k,low,low;medium,2,0.01381957671957671,matched_orientation_variation_available
ledger_failure,augmented_exact_k,high,low;medium,2,0.012353453159858648,matched_orientation_variation_available
ledger_failure,augmented_exact_k,low,low;medium,2,0.014481387254720583,matched_orientation_variation_available
orientation_degradation,at_least_k,high,low;medium,2,0.03902918094251426,matched_orientation_variation_available
orientation_degradation,at_least_k,low,low;medium,2,0.038489682539682546,matched_orientation_variation_available
orientation_degradation,augmented_exact_k,high,low;medium,2,0.03867863114909151,matched_orientation_variation_available
orientation_degradation,augmented_exact_k,low,low;medium,2,0.042586357819135584,matched_orientation_variation_available
selector_stress,at_least_k,high,low;medium,2,0.0,matched_orientation_variation_available
selector_stress,at_least_k,low,low;medium,2,0.0,matched_orientation_variation_available
selector_stress,augmented_exact_k,high,low;medium,2,0.0,matched_orientation_variation_available
selector_stress,augmented_exact_k,low,low;medium,2,0.0,matched_orientation_variation_available
