label,vertex_count,edge_count,max_depth,max_in_degree,max_out_degree
chain4@0,4,3,3,1,1
chain5@104,5,4,4,1,1
chain6@209,6,5,5,1,1
chain7@315,7,6,6,1,1
chain8@422,8,7,7,1,1
chain9@530,9,8,8,1,1
chain10@639,10,9,9,1,1
chain12@749,12,11,11,1,1
branch2d2@861,7,6,2,1,2
branch3d2@1061,13,12,2,1,3
branch2d3@1261,15,14,3,1,2
branch3d3@1461,40,39,3,1,3
branch2d4@1661,31,30,4,1,2
branch3d4@1861,121,120,4,1,3
diamond_d1@2061,4,4,2,2,2
diamond_d2@2161,6,6,3,2,2
diamond_d3@2261,8,8,4,2,2
diamond_d4@2361,10,10,5,2,2
asymL2R4@2461,7,6,4,1,2
asymL3R1@2561,5,4,3,1,2
asymL5R2@2661,8,7,5,1,2
asymL4R4@2761,9,8,4,1,2
asymL6R2@2861,9,8,6,1,2
asymL1R5@2961,7,6,5,1,2
asymL3R3@3061,7,6,3,1,2
asymL2R6@3161,9,8,6,1,2
chain5@3261,5,4,4,1,1
chain5@3316,5,4,4,1,1
chain5@3371,5,4,4,1,1
chain5@3426,5,4,4,1,1
chain6@3481,6,5,5,1,1
chain6@3537,6,5,5,1,1
chain6@3593,6,5,5,1,1
chain6@3649,6,5,5,1,1
chain7@3705,7,6,6,1,1
chain7@3762,7,6,6,1,1
chain7@3819,7,6,6,1,1
chain7@3876,7,6,6,1,1
chain8@3933,8,7,7,1,1
chain8@3991,8,7,7,1,1
chain8@4049,8,7,7,1,1
chain8@4107,8,7,7,1,1
branch2d2@4165,7,6,2,1,2
branch2d2@4265,7,6,2,1,2
branch2d2@4365,7,6,2,1,2
branch2d2@4465,7,6,2,1,2
branch2d2@4565,7,6,2,1,2
branch2d2@4665,7,6,2,1,2
branch2d2@4765,7,6,2,1,2
branch2d2@4865,7,6,2,1,2
branch2d3@4965,15,14,3,1,2
branch2d3@5065,15,14,3,1,2
branch2d3@5165,15,14,3,1,2
branch2d3@5265,15,14,3,1,2
branch2d3@5365,15,14,3,1,2
branch2d3@5465,15,14,3,1,2
branch2d3@5565,15,14,3,1,2
branch2d3@5665,15,14,3,1,2
