mode,comparison,rows,max_abs_diff,mean_abs_diff,status
ledger_failure,concrete_orientation_link_v1_5_vs_support_overlap,160,0.902963,0.544018,decoupled
ledger_failure,concrete_orientation_link_v1_5_vs_frontier_overlap,160,0.902963,0.544018,decoupled
ledger_failure,concrete_orientation_link_v1_5_vs_orientation_overlap,160,0.902963,0.544018,decoupled
ledger_failure,concrete_orientation_link_v1_5_vs_ledger_overlap,160,0.902963,0.657043,decoupled
orientation_degradation,concrete_orientation_link_v1_5_vs_support_overlap,160,0.905185,0.542775,decoupled
orientation_degradation,concrete_orientation_link_v1_5_vs_frontier_overlap,160,0.905185,0.542775,decoupled
orientation_degradation,concrete_orientation_link_v1_5_vs_orientation_overlap,160,0.905185,0.542775,decoupled
orientation_degradation,concrete_orientation_link_v1_5_vs_ledger_overlap,160,0.905185,0.656981,decoupled
selector_stress,concrete_orientation_link_v1_5_vs_support_overlap,160,0.908501,0.540101,decoupled
selector_stress,concrete_orientation_link_v1_5_vs_frontier_overlap,160,0.908501,0.540101,decoupled
selector_stress,concrete_orientation_link_v1_5_vs_orientation_overlap,160,0.908501,0.540101,decoupled
selector_stress,concrete_orientation_link_v1_5_vs_ledger_overlap,160,0.908501,0.654209,decoupled
