artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-LEAN-v1-5,RA_MotifConcreteGraphOrientationWitness.lean,lean,lean_build_confirmed_no_sorry_no_admit_no_axiom,formalization_module,RA-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-001,src/RA_AQFT/RA_MotifConcreteGraphOrientationWitness.lean,1f67c35463146a439185e64556261773a4b32a9e89dca18889f3d6745743e66d,d6bcd7ac33aea1e63b1c43a3e68143350871456e,src/RA_AQFT/RA_MotifConcreteGraphOrientationWitness.lean,Tier-B Lean module; lake build closed 8287/8287 jobs ~70s with 0 sorry/admit/axiom. First author-built (vs packet-installed) module in the orientation-link line; built clean on first try after applying the recurring v1.x patterns documented in CLAUDE.md (orientationComponent vs orientationEvidence; only-Ω-explicit; no Π identifiers).,active RAKB v0.5 14-column artifact upsert,src/RA_AQFT/RA_MotifConcreteGraphOrientationWitness.lean,formalization_module
ART-SIM-CONCRETE-GRAPH-ORIENT-ANALYSIS-v1-5,ra_concrete_graph_orientation_extraction.py,py,canonical_run_confirmed,analysis_source,RA-SIM-CONCRETE-GRAPH-ORIENT-001;RA-SIM-CONCRETE-GRAPH-ORIENT-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/analysis/ra_concrete_graph_orientation_extraction.py,eddf1898fd36459f3b70120dadda706f3576d99ca1ca4d0799c137d3e2fc2e49,d6bcd7ac33aea1e63b1c43a3e68143350871456e,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/analysis/ra_concrete_graph_orientation_extraction.py,"Pure-Python analysis module; built from scratch (~600 lines). Defines ConcreteDAG class mirroring RA_GraphCore.ActualizationDAG, corpus generators (chains/branches/diamonds/asymmetric), downward-closed cut generators with family variation, edge-pair-sign witness extractors, Jaccard overlap aggregation, decoupling/specificity/partial-correlation/matched-strata audit machinery (in-house OLS solver to avoid numpy dependency).",active RAKB v0.5 14-column artifact upsert,analysis/ra_concrete_graph_orientation_extraction.py,analysis_source
ART-SIM-CONCRETE-GRAPH-ORIENT-RUNSCRIPT-v1-5,run_concrete_graph_orientation_extraction_v1_5.py,py,canonical_run_confirmed,analysis_source,RA-SIM-CONCRETE-GRAPH-ORIENT-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/scripts/run_concrete_graph_orientation_extraction_v1_5.py,7220d7eaa1158d41ef9a2bfc3c22874b62c926db052c19c1c8217989396d7a44,d6bcd7ac33aea1e63b1c43a3e68143350871456e,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/scripts/run_concrete_graph_orientation_extraction_v1_5.py,CLI wrapper.,active RAKB v0.5 14-column artifact upsert,scripts/run_concrete_graph_orientation_extraction_v1_5.py,analysis_source
ART-SIM-CONCRETE-GRAPH-ORIENT-TESTS-v1-5,test_v1_5_concrete_graph_orientation_extraction.py,py,canonical_run_validated,validation_log,RA-SIM-CONCRETE-GRAPH-ORIENT-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/tests/test_v1_5_concrete_graph_orientation_extraction.py,3d7825450ac91797d99517926a7fc59ea1bc4f543434925a70ca8a84953f9798,d6bcd7ac33aea1e63b1c43a3e68143350871456e,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/tests/test_v1_5_concrete_graph_orientation_extraction.py,9 unit tests covering ConcreteDAG topology / corpus diversity / orientation-link edge-keying / member-index variation / Jaccard / family construction / overlap decoupling / end-to-end. All pass.,active RAKB v0.5 14-column artifact upsert,tests/test_v1_5_concrete_graph_orientation_extraction.py,validation_log
ART-SIM-CONCRETE-GRAPH-ORIENT-README-v1-5,README_RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026.md,md,canonical_run_confirmed,packet_provenance,RA-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-001;RA-SIM-CONCRETE-GRAPH-ORIENT-001;RA-SIM-CONCRETE-GRAPH-ORIENT-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/README_RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026.md,8cf198556b1db7edd1d47a9a6b17087af91597f6ddbdae4dbd6cc22a589efd14,d6bcd7ac33aea1e63b1c43a3e68143350871456e,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/README_RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026.md,Packet README documenting the concrete-graph extraction approach + honesty progression.,active RAKB v0.5 14-column artifact upsert,README_RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026.md,packet_provenance
ART-SIM-CONCRETE-GRAPH-ORIENT-REPORT-v1-5,RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_Report_May05_2026.md,md,canonical_run_confirmed,formal_bridge_report,RA-MOTIF-CONCRETE-GRAPH-ORIENT-WITNESS-001;RA-SIM-CONCRETE-GRAPH-ORIENT-001;RA-SIM-CONCRETE-GRAPH-ORIENT-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_Report_May05_2026.md,9bddb55f4bedfa6446125dfbf0a76c3966cd56e3757ea637b1d6c5edc0865c01,d6bcd7ac33aea1e63b1c43a3e68143350871456e,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_Report_May05_2026.md,Packet narrative report with full canonical numbers + honesty caveats.,active RAKB v0.5 14-column artifact upsert,reports/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_Report_May05_2026.md,formal_bridge_report
ART-SIM-CONCRETE-GRAPH-ORIENT-VALIDATION-v1-5,validation_unittest_v1_5.log,log,canonical_run_confirmed,validation_log,RA-SIM-CONCRETE-GRAPH-ORIENT-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/reports/validation_unittest_v1_5.log,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d6bcd7ac33aea1e63b1c43a3e68143350871456e,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/reports/validation_unittest_v1_5.log,9 unit tests pass.,active RAKB v0.5 14-column artifact upsert,reports/validation_unittest_v1_5.log,validation_log
ART-SIM-CONCRETE-GRAPH-ORIENT-CORPUS-v1-5,ra_concrete_graph_corpus_summary_v1_5.csv,csv,canonical_run_validated,analysis_output,RA-SIM-CONCRETE-GRAPH-ORIENT-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/outputs/ra_concrete_graph_corpus_summary_v1_5.csv,8bb8e2edba1a0e98f2f6fc0bc8606358986cbb7ff242d5a448e88743d28447bd,d6bcd7ac33aea1e63b1c43a3e68143350871456e,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/outputs/ra_concrete_graph_corpus_summary_v1_5.csv,Corpus inventory: 58 graphs with vertex/edge/depth/degree summary.,active RAKB v0.5 14-column artifact upsert,outputs/ra_concrete_graph_corpus_summary_v1_5.csv,analysis_output
ART-SIM-CONCRETE-GRAPH-ORIENT-COMPONENTS-v1-5,ra_concrete_components_v1_5.csv,csv,canonical_run_validated,analysis_output,RA-SIM-CONCRETE-GRAPH-ORIENT-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/outputs/ra_concrete_components_v1_5.csv,877d2cfb2b3218036f3f7d85568cf6d6f34a090783cb0d9f81faeb290689b524,d6bcd7ac33aea1e63b1c43a3e68143350871456e,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/outputs/ra_concrete_components_v1_5.csv,480 component rows with concrete topology-derived overlap fields appended to v1.0 schema.,active RAKB v0.5 14-column artifact upsert,outputs/ra_concrete_components_v1_5.csv,analysis_output
ART-SIM-CONCRETE-GRAPH-ORIENT-DECOUPLING-v1-5,ra_concrete_orientation_decoupling_audit_v1_5.csv,csv,canonical_run_validated,analysis_output,RA-SIM-CONCRETE-GRAPH-ORIENT-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/outputs/ra_concrete_orientation_decoupling_audit_v1_5.csv,a01598c41be6ac3b7bf557a178508e1dc9e8449fc404d109f69a845ea70c3275,d6bcd7ac33aea1e63b1c43a3e68143350871456e,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_5_ConcreteGraphOrientationExtraction_May05_2026/outputs/ra_concrete_orientation_decoupling_audit_v1_5.csv,Decoupling audit; 12/12 cells decoupled (concrete vs support/frontier/orientation/ledger across all 3 modes).,active RAKB v0.5 14-column artifact upsert,outputs/ra_concrete_orientation_decoupling_audit_v1_5.csv,analysis_output
