mode,comparison,rows,max_abs_diff,mean_abs_diff,status
ledger_failure,v1_6_graph_coupled_vs_support_overlap,8,1.0,0.545236,decoupled
ledger_failure,v1_6_graph_coupled_vs_frontier_overlap,8,1.0,0.545236,decoupled
ledger_failure,v1_6_graph_coupled_vs_legacy_orientation_overlap,8,1.0,0.545236,decoupled
ledger_failure,v1_6_graph_coupled_vs_ledger_overlap,8,1.0,0.745575,decoupled
orientation_degradation,v1_6_graph_coupled_vs_support_overlap,8,1.0,0.545236,decoupled
orientation_degradation,v1_6_graph_coupled_vs_frontier_overlap,8,1.0,0.545236,decoupled
orientation_degradation,v1_6_graph_coupled_vs_legacy_orientation_overlap,8,1.0,0.545236,decoupled
orientation_degradation,v1_6_graph_coupled_vs_ledger_overlap,8,1.0,0.745575,decoupled
selector_stress,v1_6_graph_coupled_vs_support_overlap,8,1.0,0.545236,decoupled
selector_stress,v1_6_graph_coupled_vs_frontier_overlap,8,1.0,0.545236,decoupled
selector_stress,v1_6_graph_coupled_vs_legacy_orientation_overlap,8,1.0,0.545236,decoupled
selector_stress,v1_6_graph_coupled_vs_ledger_overlap,8,1.0,0.745575,decoupled
