mode,family_semantics,severity,threshold_fraction,support_width,trials,certification_rescue_rate,v1_6_graph_coupled_orientation_link_overlap,support_overlap_mean,frontier_overlap_mean,orientation_overlap_legacy_mean,ledger_overlap_mean
ledger_failure,at_least_k,0.0,0.25,1,11,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,0.25,2,7,0.0,0.2653061224489796,0.333333,0.333333,0.333333,0.6571428571428573
ledger_failure,at_least_k,0.0,0.25,3,8,0.0,0.26168530543530544,0.333333,0.333333,0.333333,0.618820875
ledger_failure,at_least_k,0.0,0.25,4,6,0.0,0.16555565796637225,0.333333,0.333333,0.333333,0.6175181666666666
ledger_failure,at_least_k,0.0,0.5,1,11,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,0.5,2,7,0.0,0.2653061224489796,0.333333,0.333333,0.333333,0.6571428571428573
ledger_failure,at_least_k,0.0,0.5,3,8,0.0,0.47955747955747957,0.5,0.5,0.5,0.715773875
ledger_failure,at_least_k,0.0,0.5,4,6,0.0,0.36855607355607356,0.436364,0.436364,0.436364,0.6761121666666666
ledger_failure,at_least_k,0.0,0.75,1,11,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,0.75,2,7,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,0.75,3,8,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,0.75,4,6,0.0,0.5511837121212121,0.6,0.6,0.6,0.7742063333333333
ledger_failure,at_least_k,0.0,1.0,1,11,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,1.0,2,7,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,1.0,3,8,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.0,1.0,4,6,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,0.25,1,11,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,0.25,2,7,0.14285714285714285,0.2653061224489796,0.333333,0.333333,0.333333,0.6571428571428573
ledger_failure,at_least_k,0.25,0.25,3,8,0.125,0.26168530543530544,0.333333,0.333333,0.333333,0.618820875
ledger_failure,at_least_k,0.25,0.25,4,6,0.16666666666666666,0.16555565796637225,0.333333,0.333333,0.333333,0.6175181666666666
ledger_failure,at_least_k,0.25,0.5,1,11,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,0.5,2,7,0.14285714285714285,0.2653061224489796,0.333333,0.333333,0.333333,0.6571428571428573
ledger_failure,at_least_k,0.25,0.5,3,8,0.125,0.47955747955747957,0.5,0.5,0.5,0.715773875
ledger_failure,at_least_k,0.25,0.5,4,6,0.3333333333333333,0.36855607355607356,0.436364,0.436364,0.436364,0.6761121666666666
ledger_failure,at_least_k,0.25,0.75,1,11,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,0.75,2,7,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,0.75,3,8,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,0.75,4,6,0.0,0.5511837121212121,0.6,0.6,0.6,0.7742063333333333
ledger_failure,at_least_k,0.25,1.0,1,11,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,1.0,2,7,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,1.0,3,8,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.25,1.0,4,6,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.5,0.25,1,11,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.5,0.25,2,7,0.42857142857142855,0.2653061224489796,0.333333,0.333333,0.333333,0.6571428571428573
ledger_failure,at_least_k,0.5,0.25,3,8,0.375,0.26168530543530544,0.333333,0.333333,0.333333,0.618820875
ledger_failure,at_least_k,0.5,0.25,4,6,0.3333333333333333,0.16555565796637225,0.333333,0.333333,0.333333,0.6175181666666666
ledger_failure,at_least_k,0.5,0.5,1,11,0.0,0.0,1.0,1.0,1.0,1.0
ledger_failure,at_least_k,0.5,0.5,2,7,0.42857142857142855,0.2653061224489796,0.333333,0.333333,0.333333,0.6571428571428573
ledger_failure,at_least_k,0.5,0.5,3,8,0.25,0.47955747955747957,0.5,0.5,0.5,0.715773875
