artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-SIM-GRAPH-COUPLED-ORIENT-ANALYSIS-v1-6,ra_graph_coupled_orientation_extraction.py,py,matched_subset_diagnostic_validated,analysis_source,RA-SIM-GRAPH-COUPLED-ORIENT-001;RA-SIM-GRAPH-COUPLED-ORIENT-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/analysis/ra_graph_coupled_orientation_extraction.py,e0525d5bd58883fd2ae68a9407a06a798d675c599595ecdd45d3b482d2ac1034,2b614cd6b0da2983d9ba3bdeaad079744e2ca442,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/analysis/ra_graph_coupled_orientation_extraction.py,"Pure-Python analysis module; built from scratch (~480 lines). Imports v0.9 simulator (ra_causal_dag_native_cert_overlap, ra_causal_dag_channel_workbench, ra_causal_dag_support_family_monotonicity) via dynamic importlib + sys.path. For each v0.9 trial: runs evaluate_native_overlap_certified_family on state to get rescue + native overlaps, then computes graph_coupled_orientation_link_overlap on the same state.dag via edge-pair-sign Jaccard. In-house OLS solver for partial correlation. v1_6 disconnection closure: rescue and orientation_overlap come from same DAG instance per trial.",active RAKB v0.5 14-column artifact upsert,analysis/ra_graph_coupled_orientation_extraction.py,analysis_source
ART-SIM-GRAPH-COUPLED-ORIENT-RUNSCRIPT-v1-6,run_graph_coupled_orientation_extraction_v1_6.py,py,matched_subset_diagnostic_validated,analysis_source,RA-SIM-GRAPH-COUPLED-ORIENT-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/scripts/run_graph_coupled_orientation_extraction_v1_6.py,67c4b50c46b7fd07ac1dd803426cc85c91dc0c0589cfc3e4ad3b3e566024fd70,2b614cd6b0da2983d9ba3bdeaad079744e2ca442,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/scripts/run_graph_coupled_orientation_extraction_v1_6.py,CLI wrapper.,active RAKB v0.5 14-column artifact upsert,scripts/run_graph_coupled_orientation_extraction_v1_6.py,analysis_source
ART-SIM-GRAPH-COUPLED-ORIENT-TESTS-v1-6,test_v1_6_graph_coupled_orientation_extraction.py,py,matched_subset_diagnostic_validated,validation_log,RA-SIM-GRAPH-COUPLED-ORIENT-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/tests/test_v1_6_graph_coupled_orientation_extraction.py,85c8377e5907dffab0253de613a42175318dc4942357f4935b1a690437b4bfde,2b614cd6b0da2983d9ba3bdeaad079744e2ca442,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/tests/test_v1_6_graph_coupled_orientation_extraction.py,"6 tests pass when v0.9 simulator is available, including a small end-to-end integration test. If v0.9 is absent in an isolated packet audit, the integration test is skipped by design.",active RAKB v0.5 14-column artifact upsert,tests/test_v1_6_graph_coupled_orientation_extraction.py,validation_log
ART-SIM-GRAPH-COUPLED-ORIENT-README-v1-6,README_RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026.md,md,matched_subset_diagnostic_validated,packet_provenance,RA-SIM-GRAPH-COUPLED-ORIENT-001;RA-SIM-GRAPH-COUPLED-ORIENT-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/README_RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026.md,22acf8158ebf2221df58570899f276e0ba31a209fc77366a36575cbe72fc1675,2b614cd6b0da2983d9ba3bdeaad079744e2ca442,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/README_RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026.md,Packet README documenting the disconnection closure + reversed-sign empirical finding + v1.5 retraction.,active RAKB v0.5 14-column artifact upsert,README_RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026.md,packet_provenance
ART-SIM-GRAPH-COUPLED-ORIENT-REPORT-v1-6,RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_Report_May05_2026.md,md,matched_subset_diagnostic_validated,formal_bridge_report,RA-SIM-GRAPH-COUPLED-ORIENT-001;RA-SIM-GRAPH-COUPLED-ORIENT-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_Report_May05_2026.md,1a210f430162800ed3548d81d7f3706864138a8a7481a178efd7df444c1034af,2b614cd6b0da2983d9ba3bdeaad079744e2ca442,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/reports/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_Report_May05_2026.md,Packet narrative report with full canonical numbers + retraction discipline.,active RAKB v0.5 14-column artifact upsert,reports/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_Report_May05_2026.md,formal_bridge_report
ART-SIM-GRAPH-COUPLED-ORIENT-VALIDATION-v1-6,validation_unittest_v1_6.log,log,matched_subset_diagnostic_validated,validation_log,RA-SIM-GRAPH-COUPLED-ORIENT-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/reports/validation_unittest_v1_6.log,dc9accdd543d621f3d82a14022d3846196cc07f265d997810d06ca0d2b9fff4d,2b614cd6b0da2983d9ba3bdeaad079744e2ca442,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/reports/validation_unittest_v1_6.log,6 tests pass when v0.9 simulator is available; isolated packet tests may skip the integration test if v0.9 is absent.,active RAKB v0.5 14-column artifact upsert,reports/validation_unittest_v1_6.log,validation_log
ART-SIM-GRAPH-COUPLED-ORIENT-TRIAL-ROWS-v1-6,ra_v1_6_trial_rows.csv,csv,matched_subset_diagnostic_validated,analysis_output,RA-SIM-GRAPH-COUPLED-ORIENT-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/outputs/ra_v1_6_trial_rows.csv,897ce3856827cf72a378e73693903b3573b26ec480cba85b7fdab4e5f415109e,2b614cd6b0da2983d9ba3bdeaad079744e2ca442,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/outputs/ra_v1_6_trial_rows.csv,Per-trial rows; 192 rows; each row carries v0.9 trial output PLUS the v1_6_graph_coupled_orientation_link_overlap computed inline on the same state.dag as all-pairs mean Jaccard; parent-anchored Jaccard retained separately.,active RAKB v0.5 14-column artifact upsert,outputs/ra_v1_6_trial_rows.csv,analysis_output
ART-SIM-GRAPH-COUPLED-ORIENT-PER-CELL-v1-6,ra_v1_6_per_cell_aggregated.csv,csv,matched_subset_diagnostic_validated,analysis_output,RA-SIM-GRAPH-COUPLED-ORIENT-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/outputs/ra_v1_6_per_cell_aggregated.csv,b86257ada0eb84a8c322ff477f82165974f4b6d09f9011ec23d74ba6028d5843,2b614cd6b0da2983d9ba3bdeaad079744e2ca442,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/outputs/ra_v1_6_per_cell_aggregated.csv,24 per-cell rows aggregating 192 trials by (mode x semantics x severity x threshold x support_width).,active RAKB v0.5 14-column artifact upsert,outputs/ra_v1_6_per_cell_aggregated.csv,analysis_output
ART-SIM-GRAPH-COUPLED-ORIENT-DECOUPLING-v1-6,ra_v1_6_decoupling_audit.csv,csv,matched_subset_diagnostic_validated,analysis_output,RA-SIM-GRAPH-COUPLED-ORIENT-001,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/outputs/ra_v1_6_decoupling_audit.csv,4b9fc4c9868add415af1bb93b1a386190cf318cb3ae2e468623eb01883da6206,2b614cd6b0da2983d9ba3bdeaad079744e2ca442,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/outputs/ra_v1_6_decoupling_audit.csv,12/12 cells decoupled; max_abs_diff 1.0 across all four legacy comparison surfaces.,active RAKB v0.5 14-column artifact upsert,outputs/ra_v1_6_decoupling_audit.csv,analysis_output
ART-SIM-GRAPH-COUPLED-ORIENT-PARTIAL-CORR-v1-6,ra_v1_6_partial_correlation.csv,csv,matched_subset_diagnostic_validated,analysis_output,RA-SIM-GRAPH-COUPLED-ORIENT-002,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/outputs/ra_v1_6_partial_correlation.csv,be523cc29e1a1ad4e4175b6a0bd7178c6e6d93b02fc5e109309384f8189f6f02,2b614cd6b0da2983d9ba3bdeaad079744e2ca442,src/RA_AQFT/RA_CausalDAG_MotifCommitSimulator_v1_6_GraphCoupledOrientationExtraction_May05_2026/outputs/ra_v1_6_partial_correlation.csv,Corrected partial-correlation table; rescue_residual_std is nonzero for ledger/orientation cells and zero only for selector-stress controls. Earlier support+frontier-explains-all wording was incorrect.,active RAKB v0.5 14-column artifact upsert,outputs/ra_v1_6_partial_correlation.csv,analysis_output
