keying,mode,rows,min_overlap,mean_overlap,max_overlap,std_overlap,mean_token_count
catalog_augmented_edge_pair,ledger_failure,72,0.0,0.187557,0.505467,0.177245,7.473033
catalog_augmented_edge_pair,orientation_degradation,72,0.0,0.187408,0.505077,0.177196,7.468424
catalog_augmented_edge_pair,selector_stress,72,0.0,0.187221,0.505655,0.177099,7.469791
edge_direction_only,ledger_failure,72,0.0,0.218182,0.6,0.212474,5.683796
edge_direction_only,orientation_degradation,72,0.0,0.218182,0.6,0.212474,5.683796
edge_direction_only,selector_stress,72,0.0,0.218182,0.6,0.212474,5.683796
edge_pair_signed_no_member,ledger_failure,72,0.0,0.218182,0.6,0.212474,5.683796
edge_pair_signed_no_member,orientation_degradation,72,0.0,0.218182,0.6,0.212474,5.683796
edge_pair_signed_no_member,selector_stress,72,0.0,0.218182,0.6,0.212474,5.683796
incidence_role_signed,ledger_failure,72,0.0,0.218182,0.6,0.212474,5.683796
incidence_role_signed,orientation_degradation,72,0.0,0.218182,0.6,0.212474,5.683796
incidence_role_signed,selector_stress,72,0.0,0.218182,0.6,0.212474,5.683796
member_indexed_edge_pair,ledger_failure,72,0.0,0.005857,0.050306,0.01448,5.683796
member_indexed_edge_pair,orientation_degradation,72,0.0,0.005857,0.050306,0.01448,5.683796
member_indexed_edge_pair,selector_stress,72,0.0,0.005857,0.050306,0.01448,5.683796
shuffled_overlap_control,ledger_failure,72,0.0,0.015875,0.045109,0.015256,5.517422
shuffled_overlap_control,orientation_degradation,72,0.0,0.016098,0.046504,0.015333,5.514114
shuffled_overlap_control,selector_stress,72,0.0,0.015995,0.04495,0.015234,5.516598
