keying,mode,family_semantics,rows,orientation_residual_std,rescue_residual_std,partial_corr_with_rescue,status
catalog_augmented_edge_pair,ledger_failure,at_least_k,36,0.102506,0.068447,-0.000785,resolved
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,36,0.135635,0.055611,-0.0827,resolved
catalog_augmented_edge_pair,orientation_degradation,at_least_k,36,0.102866,0.063081,0.068361,resolved
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,36,0.13564,0.05199,-0.002377,resolved
catalog_augmented_edge_pair,selector_stress,at_least_k,36,0.102779,0.0,,no_independent_variation
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,36,0.135768,0.0,,no_independent_variation
edge_direction_only,ledger_failure,at_least_k,36,0.123856,0.068447,-0.015794,resolved
edge_direction_only,ledger_failure,augmented_exact_k,36,0.173635,0.055611,-0.100984,resolved
edge_direction_only,orientation_degradation,at_least_k,36,0.123856,0.063081,0.046746,resolved
edge_direction_only,orientation_degradation,augmented_exact_k,36,0.173635,0.05199,-0.024328,resolved
edge_direction_only,selector_stress,at_least_k,36,0.123856,0.0,,no_independent_variation
edge_direction_only,selector_stress,augmented_exact_k,36,0.173635,0.0,,no_independent_variation
edge_pair_signed_no_member,ledger_failure,at_least_k,36,0.123856,0.068447,-0.015794,resolved
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,36,0.173635,0.055611,-0.100984,resolved
edge_pair_signed_no_member,orientation_degradation,at_least_k,36,0.123856,0.063081,0.046746,resolved
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,36,0.173635,0.05199,-0.024328,resolved
edge_pair_signed_no_member,selector_stress,at_least_k,36,0.123856,0.0,,no_independent_variation
edge_pair_signed_no_member,selector_stress,augmented_exact_k,36,0.173635,0.0,,no_independent_variation
incidence_role_signed,ledger_failure,at_least_k,36,0.123856,0.068447,-0.015794,resolved
incidence_role_signed,ledger_failure,augmented_exact_k,36,0.173635,0.055611,-0.100984,resolved
incidence_role_signed,orientation_degradation,at_least_k,36,0.123856,0.063081,0.046746,resolved
incidence_role_signed,orientation_degradation,augmented_exact_k,36,0.173635,0.05199,-0.024328,resolved
incidence_role_signed,selector_stress,at_least_k,36,0.123856,0.0,,no_independent_variation
incidence_role_signed,selector_stress,augmented_exact_k,36,0.173635,0.0,,no_independent_variation
member_indexed_edge_pair,ledger_failure,at_least_k,36,0.016263,0.068447,0.410802,resolved
member_indexed_edge_pair,ledger_failure,augmented_exact_k,36,0.006553,0.055611,0.251716,resolved
member_indexed_edge_pair,orientation_degradation,at_least_k,36,0.016263,0.063081,0.500905,resolved
member_indexed_edge_pair,orientation_degradation,augmented_exact_k,36,0.006553,0.05199,0.271283,resolved
member_indexed_edge_pair,selector_stress,at_least_k,36,0.016263,0.0,,no_independent_variation
member_indexed_edge_pair,selector_stress,augmented_exact_k,36,0.006553,0.0,,no_independent_variation
shuffled_overlap_control,ledger_failure,at_least_k,36,0.010088,0.068447,0.130805,resolved
shuffled_overlap_control,ledger_failure,augmented_exact_k,36,0.01108,0.055611,0.048373,resolved
shuffled_overlap_control,orientation_degradation,at_least_k,36,0.009994,0.063081,0.194704,resolved
shuffled_overlap_control,orientation_degradation,augmented_exact_k,36,0.010904,0.05199,0.138115,resolved
shuffled_overlap_control,selector_stress,at_least_k,36,0.00974,0.0,,no_independent_variation
shuffled_overlap_control,selector_stress,augmented_exact_k,36,0.010991,0.0,,no_independent_variation
