keying,mode,family_semantics,observed_low_minus_high_gap,reverse_order_control_gap,control_kind,interpretation
catalog_augmented_edge_pair,ledger_failure,at_least_k,-0.202021,0.202021,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,-0.181085,0.181085,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
catalog_augmented_edge_pair,orientation_degradation,at_least_k,-0.213208,0.213208,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,-0.183988,0.183988,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
catalog_augmented_edge_pair,selector_stress,at_least_k,0.0,-0.0,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.0,-0.0,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
edge_direction_only,ledger_failure,at_least_k,-0.209952,0.209952,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
edge_direction_only,ledger_failure,augmented_exact_k,-0.193109,0.193109,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
edge_direction_only,orientation_degradation,at_least_k,-0.210533,0.210533,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
edge_direction_only,orientation_degradation,augmented_exact_k,-0.190598,0.190598,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
edge_direction_only,selector_stress,at_least_k,0.0,-0.0,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
edge_direction_only,selector_stress,augmented_exact_k,0.0,-0.0,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
edge_pair_signed_no_member,ledger_failure,at_least_k,-0.209952,0.209952,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,-0.193109,0.193109,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
edge_pair_signed_no_member,orientation_degradation,at_least_k,-0.210533,0.210533,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,-0.190598,0.190598,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
edge_pair_signed_no_member,selector_stress,at_least_k,0.0,-0.0,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
edge_pair_signed_no_member,selector_stress,augmented_exact_k,0.0,-0.0,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
incidence_role_signed,ledger_failure,at_least_k,-0.209952,0.209952,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
incidence_role_signed,ledger_failure,augmented_exact_k,-0.193109,0.193109,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
incidence_role_signed,orientation_degradation,at_least_k,-0.210533,0.210533,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
incidence_role_signed,orientation_degradation,augmented_exact_k,-0.190598,0.190598,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
incidence_role_signed,selector_stress,at_least_k,0.0,-0.0,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
incidence_role_signed,selector_stress,augmented_exact_k,0.0,-0.0,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
member_indexed_edge_pair,ledger_failure,at_least_k,-0.154901,0.154901,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
member_indexed_edge_pair,ledger_failure,augmented_exact_k,-0.097105,0.097105,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
member_indexed_edge_pair,orientation_degradation,at_least_k,-0.160837,0.160837,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
member_indexed_edge_pair,orientation_degradation,augmented_exact_k,-0.101697,0.101697,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
member_indexed_edge_pair,selector_stress,at_least_k,0.0,-0.0,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
member_indexed_edge_pair,selector_stress,augmented_exact_k,0.0,-0.0,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
shuffled_overlap_control,ledger_failure,at_least_k,-0.202021,0.202021,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
shuffled_overlap_control,ledger_failure,augmented_exact_k,-0.196379,0.196379,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
shuffled_overlap_control,orientation_degradation,at_least_k,-0.213208,0.213208,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
shuffled_overlap_control,orientation_degradation,augmented_exact_k,-0.188123,0.188123,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
shuffled_overlap_control,selector_stress,at_least_k,0.0,-0.0,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
shuffled_overlap_control,selector_stress,augmented_exact_k,0.0,-0.0,reverse_overlap_order_diagnostic,diagnostic_only_not_p_value
