keying,mode,family_semantics,severity,threshold_fraction,support_width,family_size,rows,low_count,medium_count,high_count,low_high_estimable,bin_signature
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.25,0.25,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.25,0.25,2,3,645,0,377,268,False,high:268;medium:377
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.25,0.25,3,7,714,0,300,414,False,high:414;medium:300
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.25,0.25,4,15,660,0,66,594,False,high:594;medium:66
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.25,0.5,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.25,0.5,2,3,645,0,351,294,False,high:294;medium:351
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.25,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.25,0.5,4,11,660,0,0,660,False,high:660
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.25,0.75,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.25,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.25,0.75,3,1,714,429,285,0,False,low:429;medium:285
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.25,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.5,0.25,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.5,0.25,2,3,645,0,367,278,False,high:278;medium:367
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.5,0.25,3,7,714,0,286,428,False,high:428;medium:286
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.5,0.25,4,15,660,0,74,586,False,high:586;medium:74
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.5,0.5,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.5,0.5,2,3,645,0,383,262,False,high:262;medium:383
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.5,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.5,0.5,4,11,660,0,0,660,False,high:660
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.5,0.75,1,1,1581,931,650,0,False,low:931;medium:650
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.5,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.5,0.75,3,1,714,429,285,0,False,low:429;medium:285
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.5,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.25,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.25,2,3,645,0,358,287,False,high:287;medium:358
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.25,3,7,714,0,292,422,False,high:422;medium:292
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.25,4,15,660,0,70,590,False,high:590;medium:70
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.5,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.5,2,3,645,0,370,275,False,high:275;medium:370
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.5,3,4,714,0,0,714,False,high:714
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.5,4,11,660,0,0,660,False,high:660
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.75,1,1,1581,927,654,0,False,low:927;medium:654
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.75,2,1,645,381,264,0,False,low:381;medium:264
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.75,3,1,714,426,288,0,False,low:426;medium:288
catalog_augmented_edge_pair,ledger_failure,at_least_k,0.75,0.75,4,5,660,0,0,660,False,high:660
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.25,1,1,1581,933,648,0,False,low:933;medium:648
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.25,2,3,645,0,9,636,False,high:636;medium:9
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.25,3,4,714,0,443,271,False,high:271;medium:443
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,0.25,0.25,4,5,660,0,626,34,False,high:34;medium:626
