keying,mode,family_semantics,raw_low_minus_high_gap,width_matched_low_minus_high_gap,joint_width_family_matched_low_minus_high_gap,matched_strata_count,total_strata_count,estimable_fraction,matched_trials_count
catalog_augmented_edge_pair,ledger_failure,at_least_k,-0.20435185185185184,-0.1842153552554316,-0.004214455338160636,21,36,0.5833333333333334,14094
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,-0.1862037037037037,-0.17537782813583258,-0.0018261004190259613,21,36,0.5833333333333334,14094
catalog_augmented_edge_pair,orientation_degradation,at_least_k,-0.20879629629629629,-0.17948588633417895,0.009926634501580758,21,36,0.5833333333333334,14094
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,-0.18787037037037038,-0.18012835927772525,0.0034495404927298618,21,36,0.5833333333333334,14094
catalog_augmented_edge_pair,selector_stress,at_least_k,0.0,0.0,0.0,21,36,0.5833333333333334,14094
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,0.0,0.0,0.0,21,36,0.5833333333333334,14094
edge_direction_only,ledger_failure,at_least_k,-0.19703703703703704,-0.1813969916064157,,0,36,0.0,0
edge_direction_only,ledger_failure,augmented_exact_k,-0.18675925925925926,-0.17849815989350873,,0,36,0.0,0
edge_direction_only,orientation_degradation,at_least_k,-0.19833333333333333,-0.17721405025069947,,0,36,0.0,0
edge_direction_only,orientation_degradation,augmented_exact_k,-0.18861111111111112,-0.18255422441468955,,0,36,0.0,0
edge_direction_only,selector_stress,at_least_k,0.0,0.0,,0,36,0.0,0
edge_direction_only,selector_stress,augmented_exact_k,0.0,0.0,,0,36,0.0,0
edge_pair_signed_no_member,ledger_failure,at_least_k,-0.19703703703703704,-0.1813969916064157,,0,36,0.0,0
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,-0.18675925925925926,-0.17849815989350873,,0,36,0.0,0
edge_pair_signed_no_member,orientation_degradation,at_least_k,-0.19833333333333333,-0.17721405025069947,,0,36,0.0,0
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,-0.18861111111111112,-0.18255422441468955,,0,36,0.0,0
edge_pair_signed_no_member,selector_stress,at_least_k,0.0,0.0,,0,36,0.0,0
edge_pair_signed_no_member,selector_stress,augmented_exact_k,0.0,0.0,,0,36,0.0,0
incidence_role_signed,ledger_failure,at_least_k,-0.19703703703703704,-0.1813969916064157,,0,36,0.0,0
incidence_role_signed,ledger_failure,augmented_exact_k,-0.18675925925925926,-0.17849815989350873,,0,36,0.0,0
incidence_role_signed,orientation_degradation,at_least_k,-0.19833333333333333,-0.17721405025069947,,0,36,0.0,0
incidence_role_signed,orientation_degradation,augmented_exact_k,-0.18861111111111112,-0.18255422441468955,,0,36,0.0,0
incidence_role_signed,selector_stress,at_least_k,0.0,0.0,,0,36,0.0,0
incidence_role_signed,selector_stress,augmented_exact_k,0.0,0.0,,0,36,0.0,0
member_indexed_edge_pair,ledger_failure,at_least_k,-0.11731481481481482,-0.06069292585148619,-0.028499278499278507,9,36,0.25,6102
member_indexed_edge_pair,ledger_failure,augmented_exact_k,-0.03324074074074075,-0.0087560502478173,-0.03333333333333334,3,36,0.08333333333333333,1980
member_indexed_edge_pair,orientation_degradation,at_least_k,-0.12092592592592594,-0.06244308681112126,0.02054154995331465,9,36,0.25,6102
member_indexed_edge_pair,orientation_degradation,augmented_exact_k,-0.02935185185185185,-0.0041581222046081084,-0.0106060606060606,3,36,0.08333333333333333,1980
member_indexed_edge_pair,selector_stress,at_least_k,0.0,0.0,0.0,9,36,0.25,6102
member_indexed_edge_pair,selector_stress,augmented_exact_k,0.0,0.0,0.0,3,36,0.08333333333333333,1980
shuffled_overlap_control,ledger_failure,at_least_k,-0.185,-0.047287776886310535,0.00785223180181163,21,36,0.5833333333333334,14094
shuffled_overlap_control,ledger_failure,augmented_exact_k,-0.15574074074074076,-0.02809262311405416,0.0015249651657703285,21,36,0.5833333333333334,14094
shuffled_overlap_control,orientation_degradation,at_least_k,-0.19305555555555556,0.17087111890046994,-0.0011183331683624845,21,36,0.5833333333333334,14094
shuffled_overlap_control,orientation_degradation,augmented_exact_k,-0.15388888888888888,-0.012974431092232494,0.007065955346197676,21,36,0.5833333333333334,14094
shuffled_overlap_control,selector_stress,at_least_k,0.0,0.0,0.0,21,36,0.5833333333333334,14094
shuffled_overlap_control,selector_stress,augmented_exact_k,0.0,0.0,0.0,21,36,0.5833333333333334,14094
