keying,mode,family_semantics,orientation_bin,rows,rescue_rate,mean_family_size,family_size_min,family_size_max,family_size_counts,singleton_family_fraction
catalog_augmented_edge_pair,ledger_failure,at_least_k,high,10800,0.20435185185185184,7.466481481481481,3,15,3:1664;4:2142;5:1980;7:1264;11:1980;15:1770,0.0
catalog_augmented_edge_pair,ledger_failure,at_least_k,low,10800,0.0,1.0,1,1,1:10800,1.0
catalog_augmented_edge_pair,ledger_failure,at_least_k,medium,10800,0.0636111111111111,2.1685185185185185,1,15,1:7506;3:2206;7:878;15:210,0.695
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,high,10800,0.1862037037037037,4.389351851851852,3,7,3:3804;4:2947;5:2069;7:1980,0.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,low,10800,0.0,1.0,1,1,1:10800,1.0
catalog_augmented_edge_pair,ledger_failure,augmented_exact_k,medium,10800,0.09268518518518519,2.0839814814814814,1,5,1:7506;3:66;4:1337;5:1891,0.695
catalog_augmented_edge_pair,orientation_degradation,at_least_k,high,10800,0.20879629629629629,7.50462962962963,3,15,3:1631;4:2142;5:1980;7:1262;11:1980;15:1805,0.0
catalog_augmented_edge_pair,orientation_degradation,at_least_k,low,10800,0.0,1.0,1,1,1:10800,1.0
catalog_augmented_edge_pair,orientation_degradation,at_least_k,medium,10800,0.06222222222222222,2.1303703703703705,1,15,1:7506;3:2239;7:880;15:175,0.695
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,high,10800,0.18787037037037038,4.387222222222222,3,7,3:3819;4:2940;5:2061;7:1980,0.0
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,low,10800,0.0,1.0,1,1,1:10800,1.0
catalog_augmented_edge_pair,orientation_degradation,augmented_exact_k,medium,10800,0.09027777777777778,2.0861111111111112,1,5,1:7506;3:51;4:1344;5:1899,0.695
catalog_augmented_edge_pair,selector_stress,at_least_k,high,10800,0.0,7.507962962962963,3,15,3:1614;4:2142;5:1980;7:1283;11:1980;15:1801,0.0
catalog_augmented_edge_pair,selector_stress,at_least_k,low,10800,0.0,1.0,1,1,1:10800,1.0
catalog_augmented_edge_pair,selector_stress,at_least_k,medium,10800,0.0,2.127037037037037,1,15,1:7506;3:2256;7:859;15:179,0.695
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,high,10800,0.0,4.3896296296296295,3,7,3:3804;4:2944;5:2072;7:1980,0.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,low,10800,0.0,1.0,1,1,1:10800,1.0
catalog_augmented_edge_pair,selector_stress,augmented_exact_k,medium,10800,0.0,2.0837037037037036,1,5,1:7506;3:66;4:1340;5:1888,0.695
edge_direction_only,ledger_failure,at_least_k,high,10800,0.19703703703703704,6.7716666666666665,3,15,3:2268;4:2142;5:1980;7:1296;11:1980;15:1134,0.0
edge_direction_only,ledger_failure,at_least_k,low,10800,0.0,1.0,1,1,1:10800,1.0
edge_direction_only,ledger_failure,at_least_k,medium,10800,0.07092592592592592,2.8633333333333333,1,15,1:7506;3:1602;7:846;15:846,0.695
edge_direction_only,ledger_failure,augmented_exact_k,high,10800,0.18675925925925926,4.375,3,7,3:3870;4:2970;5:1980;7:1980,0.0
edge_direction_only,ledger_failure,augmented_exact_k,low,10800,0.0,1.0,1,1,1:10800,1.0
edge_direction_only,ledger_failure,augmented_exact_k,medium,10800,0.09212962962962963,2.098333333333333,1,5,1:7506;4:1314;5:1980,0.695
edge_direction_only,orientation_degradation,at_least_k,high,10800,0.19833333333333333,6.7716666666666665,3,15,3:2268;4:2142;5:1980;7:1296;11:1980;15:1134,0.0
edge_direction_only,orientation_degradation,at_least_k,low,10800,0.0,1.0,1,1,1:10800,1.0
edge_direction_only,orientation_degradation,at_least_k,medium,10800,0.07268518518518519,2.8633333333333333,1,15,1:7506;3:1602;7:846;15:846,0.695
edge_direction_only,orientation_degradation,augmented_exact_k,high,10800,0.18861111111111112,4.375,3,7,3:3870;4:2970;5:1980;7:1980,0.0
edge_direction_only,orientation_degradation,augmented_exact_k,low,10800,0.0,1.0,1,1,1:10800,1.0
edge_direction_only,orientation_degradation,augmented_exact_k,medium,10800,0.08953703703703704,2.098333333333333,1,5,1:7506;4:1314;5:1980,0.695
edge_direction_only,selector_stress,at_least_k,high,10800,0.0,6.7716666666666665,3,15,3:2268;4:2142;5:1980;7:1296;11:1980;15:1134,0.0
edge_direction_only,selector_stress,at_least_k,low,10800,0.0,1.0,1,1,1:10800,1.0
edge_direction_only,selector_stress,at_least_k,medium,10800,0.0,2.8633333333333333,1,15,1:7506;3:1602;7:846;15:846,0.695
edge_direction_only,selector_stress,augmented_exact_k,high,10800,0.0,4.375,3,7,3:3870;4:2970;5:1980;7:1980,0.0
edge_direction_only,selector_stress,augmented_exact_k,low,10800,0.0,1.0,1,1,1:10800,1.0
edge_direction_only,selector_stress,augmented_exact_k,medium,10800,0.0,2.098333333333333,1,5,1:7506;4:1314;5:1980,0.695
edge_pair_signed_no_member,ledger_failure,at_least_k,high,10800,0.19703703703703704,6.7716666666666665,3,15,3:2268;4:2142;5:1980;7:1296;11:1980;15:1134,0.0
edge_pair_signed_no_member,ledger_failure,at_least_k,low,10800,0.0,1.0,1,1,1:10800,1.0
edge_pair_signed_no_member,ledger_failure,at_least_k,medium,10800,0.07092592592592592,2.8633333333333333,1,15,1:7506;3:1602;7:846;15:846,0.695
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,high,10800,0.18675925925925926,4.375,3,7,3:3870;4:2970;5:1980;7:1980,0.0
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,low,10800,0.0,1.0,1,1,1:10800,1.0
edge_pair_signed_no_member,ledger_failure,augmented_exact_k,medium,10800,0.09212962962962963,2.098333333333333,1,5,1:7506;4:1314;5:1980,0.695
edge_pair_signed_no_member,orientation_degradation,at_least_k,high,10800,0.19833333333333333,6.7716666666666665,3,15,3:2268;4:2142;5:1980;7:1296;11:1980;15:1134,0.0
edge_pair_signed_no_member,orientation_degradation,at_least_k,low,10800,0.0,1.0,1,1,1:10800,1.0
edge_pair_signed_no_member,orientation_degradation,at_least_k,medium,10800,0.07268518518518519,2.8633333333333333,1,15,1:7506;3:1602;7:846;15:846,0.695
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,high,10800,0.18861111111111112,4.375,3,7,3:3870;4:2970;5:1980;7:1980,0.0
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,low,10800,0.0,1.0,1,1,1:10800,1.0
edge_pair_signed_no_member,orientation_degradation,augmented_exact_k,medium,10800,0.08953703703703704,2.098333333333333,1,5,1:7506;4:1314;5:1980,0.695
edge_pair_signed_no_member,selector_stress,at_least_k,high,10800,0.0,6.7716666666666665,3,15,3:2268;4:2142;5:1980;7:1296;11:1980;15:1134,0.0
edge_pair_signed_no_member,selector_stress,at_least_k,low,10800,0.0,1.0,1,1,1:10800,1.0
edge_pair_signed_no_member,selector_stress,at_least_k,medium,10800,0.0,2.8633333333333333,1,15,1:7506;3:1602;7:846;15:846,0.695
edge_pair_signed_no_member,selector_stress,augmented_exact_k,high,10800,0.0,4.375,3,7,3:3870;4:2970;5:1980;7:1980,0.0
edge_pair_signed_no_member,selector_stress,augmented_exact_k,low,10800,0.0,1.0,1,1,1:10800,1.0
edge_pair_signed_no_member,selector_stress,augmented_exact_k,medium,10800,0.0,2.098333333333333,1,5,1:7506;4:1314;5:1980,0.695
incidence_role_signed,ledger_failure,at_least_k,high,10800,0.19703703703703704,6.7716666666666665,3,15,3:2268;4:2142;5:1980;7:1296;11:1980;15:1134,0.0
incidence_role_signed,ledger_failure,at_least_k,low,10800,0.0,1.0,1,1,1:10800,1.0
incidence_role_signed,ledger_failure,at_least_k,medium,10800,0.07092592592592592,2.8633333333333333,1,15,1:7506;3:1602;7:846;15:846,0.695
incidence_role_signed,ledger_failure,augmented_exact_k,high,10800,0.18675925925925926,4.375,3,7,3:3870;4:2970;5:1980;7:1980,0.0
incidence_role_signed,ledger_failure,augmented_exact_k,low,10800,0.0,1.0,1,1,1:10800,1.0
incidence_role_signed,ledger_failure,augmented_exact_k,medium,10800,0.09212962962962963,2.098333333333333,1,5,1:7506;4:1314;5:1980,0.695
