config_id,keying,family_semantics,threshold_fraction,rows,orientation_bins,bin_count,has_low,has_medium,has_high,has_low_high,support_width_classes,family_size_classes,high_bin_presence_rate
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.25,1200,low;medium,2,True,True,False,False,1;2;3;4,1;3;7;15,0.0
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.5,1200,low;medium,2,True,True,False,False,1;2;3;4,1;3;4;11,0.0
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,0.75,1200,low;medium,2,True,True,False,False,1;2;3;4,1;5,0.0
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,at_least_k,1.0,1200,low,1,True,False,False,False,1;2;3;4,1,0.0
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.25,1200,low;medium,2,True,True,False,False,1;2;3;4,1;3;4;5,0.0
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.5,1200,low;medium,2,True,True,False,False,1;2;3;4,1;3;4;7,0.0
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,0.75,1200,low;medium,2,True,True,False,False,1;2;3;4,1;5,0.0
steps32_targets12_bp0.35_wj0.55,catalog_augmented_edge_pair,augmented_exact_k,1.0,1200,low,1,True,False,False,False,1;2;3;4,1,0.0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.25,1200,low;medium,2,True,True,False,False,1;2;3;4,1;3;7;15,0.0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.5,1200,low;medium,2,True,True,False,False,1;2;3;4,1;3;4;11,0.0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,0.75,1200,low;medium,2,True,True,False,False,1;2;3;4,1;5,0.0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,at_least_k,1.0,1200,low,1,True,False,False,False,1;2;3;4,1,0.0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.25,1200,low;medium,2,True,True,False,False,1;2;3;4,1;3;4;5,0.0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.5,1200,low;medium,2,True,True,False,False,1;2;3;4,1;3;4;7,0.0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,0.75,1200,low;medium,2,True,True,False,False,1;2;3;4,1;5,0.0
steps32_targets12_bp0.35_wj0.55,edge_direction_only,augmented_exact_k,1.0,1200,low,1,True,False,False,False,1;2;3;4,1,0.0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.25,1200,low;medium,2,True,True,False,False,1;2;3;4,1;3;7;15,0.0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.5,1200,low;medium,2,True,True,False,False,1;2;3;4,1;3;4;11,0.0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,0.75,1200,low;medium,2,True,True,False,False,1;2;3;4,1;5,0.0
steps32_targets12_bp0.35_wj0.55,edge_pair_signed_no_member,at_least_k,1.0,1200,low,1,True,False,False,False,1;2;3;4,1,0.0
