run_seed,motif,motif_kind,site,threshold_fraction,family_semantics,support_width,family_size,pair_count,active_all_pairs_orientation_jaccard,active_parent_anchored_orientation_jaccard,active_orientation_overlap_bin,bad_member_indexed_all_pairs_jaccard,member_index_delta
17,renewal_1,renewal,1,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_1,renewal,1,1.0,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_1,renewal,1,0.75,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_1,renewal,1,0.75,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_1,renewal,1,0.5,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_1,renewal,1,0.5,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_1,renewal,1,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_1,renewal,1,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_27,renewal,27,1.0,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
17,renewal_27,renewal,27,1.0,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
17,renewal_27,renewal,27,0.75,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
17,renewal_27,renewal,27,0.75,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
17,renewal_27,renewal,27,0.5,at_least_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
17,renewal_27,renewal,27,0.5,augmented_exact_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
17,renewal_27,renewal,27,0.25,at_least_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
17,renewal_27,renewal,27,0.25,augmented_exact_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
17,renewal_18,renewal,18,1.0,at_least_k,3,1,0,0.0,0.0,low,0.0,0.0
17,renewal_18,renewal,18,1.0,augmented_exact_k,3,1,0,0.0,0.0,low,0.0,0.0
17,renewal_18,renewal,18,0.75,at_least_k,3,1,0,0.0,0.0,low,0.0,0.0
17,renewal_18,renewal,18,0.75,augmented_exact_k,3,1,0,0.0,0.0,low,0.0,0.0
17,renewal_18,renewal,18,0.5,at_least_k,3,4,6,0.5,0.533333,medium,0.133333,0.366667
17,renewal_18,renewal,18,0.5,augmented_exact_k,3,4,6,0.5,0.533333,medium,0.133333,0.366667
17,renewal_18,renewal,18,0.25,at_least_k,3,7,21,0.333333,0.35,medium,0.12619,0.207143
17,renewal_18,renewal,18,0.25,augmented_exact_k,3,4,6,0.166667,0.2,low,0.1,0.066667
17,renewal_8,renewal,8,1.0,at_least_k,4,1,0,0.0,0.0,low,0.0,0.0
17,renewal_8,renewal,8,1.0,augmented_exact_k,4,1,0,0.0,0.0,low,0.0,0.0
17,renewal_8,renewal,8,0.75,at_least_k,4,5,10,0.6,0.5625,medium,0.125,0.475
17,renewal_8,renewal,8,0.75,augmented_exact_k,4,5,10,0.6,0.5625,medium,0.125,0.475
17,renewal_8,renewal,8,0.5,at_least_k,4,11,55,0.436364,0.366667,medium,0.134848,0.301515
17,renewal_8,renewal,8,0.5,augmented_exact_k,4,7,21,0.333333,0.305556,medium,0.079365,0.253968
17,renewal_8,renewal,8,0.25,at_least_k,4,15,105,0.333333,0.196429,medium,0.114286,0.219048
17,renewal_8,renewal,8,0.25,augmented_exact_k,4,5,10,0.1,0.0625,low,0.025,0.075
17,renewal_2,renewal,2,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_2,renewal,2,1.0,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_2,renewal,2,0.75,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_2,renewal,2,0.75,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_2,renewal,2,0.5,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_2,renewal,2,0.5,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_2,renewal,2,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_2,renewal,2,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_32,renewal,32,1.0,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
17,renewal_32,renewal,32,1.0,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
17,renewal_32,renewal,32,0.75,at_least_k,2,1,0,0.0,0.0,low,0.0,0.0
17,renewal_32,renewal,32,0.75,augmented_exact_k,2,1,0,0.0,0.0,low,0.0,0.0
17,renewal_32,renewal,32,0.5,at_least_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
17,renewal_32,renewal,32,0.5,augmented_exact_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
17,renewal_32,renewal,32,0.25,at_least_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
17,renewal_32,renewal,32,0.25,augmented_exact_k,2,3,3,0.333333,0.25,medium,0.0,0.333333
17,renewal_21,renewal,21,1.0,at_least_k,3,1,0,0.0,0.0,low,0.0,0.0
17,renewal_21,renewal,21,1.0,augmented_exact_k,3,1,0,0.0,0.0,low,0.0,0.0
17,renewal_21,renewal,21,0.75,at_least_k,3,1,0,0.0,0.0,low,0.0,0.0
17,renewal_21,renewal,21,0.75,augmented_exact_k,3,1,0,0.0,0.0,low,0.0,0.0
17,renewal_21,renewal,21,0.5,at_least_k,3,4,6,0.5,0.561404,medium,0.140351,0.359649
17,renewal_21,renewal,21,0.5,augmented_exact_k,3,4,6,0.5,0.561404,medium,0.140351,0.359649
17,renewal_21,renewal,21,0.25,at_least_k,3,7,21,0.333333,0.297697,medium,0.103728,0.229605
17,renewal_21,renewal,21,0.25,augmented_exact_k,3,4,6,0.166667,0.157895,low,0.078947,0.087719
17,renewal_13,renewal,13,1.0,at_least_k,4,1,0,0.0,0.0,low,0.0,0.0
17,renewal_13,renewal,13,1.0,augmented_exact_k,4,1,0,0.0,0.0,low,0.0,0.0
17,renewal_13,renewal,13,0.75,at_least_k,4,5,10,0.6,0.375,medium,0.116667,0.483333
17,renewal_13,renewal,13,0.75,augmented_exact_k,4,5,10,0.6,0.375,medium,0.116667,0.483333
17,renewal_13,renewal,13,0.5,at_least_k,4,11,55,0.436364,0.28,medium,0.137576,0.298788
17,renewal_13,renewal,13,0.5,augmented_exact_k,4,7,21,0.333333,0.233333,medium,0.07619,0.257143
17,renewal_13,renewal,13,0.25,at_least_k,4,15,105,0.333333,0.153571,medium,0.117302,0.216032
17,renewal_13,renewal,13,0.25,augmented_exact_k,4,5,10,0.1,0.041667,low,0.016667,0.083333
17,renewal_3,renewal,3,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_3,renewal,3,1.0,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_3,renewal,3,0.75,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_3,renewal,3,0.75,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_3,renewal,3,0.5,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_3,renewal,3,0.5,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_3,renewal,3,0.25,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_3,renewal,3,0.25,augmented_exact_k,1,1,0,0.0,0.0,low,0.0,0.0
17,renewal_31,renewal,31,1.0,at_least_k,3,1,0,0.0,0.0,low,0.0,0.0
17,renewal_31,renewal,31,1.0,augmented_exact_k,3,1,0,0.0,0.0,low,0.0,0.0
17,renewal_31,renewal,31,0.75,at_least_k,3,1,0,0.0,0.0,low,0.0,0.0
17,renewal_31,renewal,31,0.75,augmented_exact_k,3,1,0,0.0,0.0,low,0.0,0.0
17,renewal_31,renewal,31,0.5,at_least_k,3,4,6,0.5,0.444444,medium,0.111111,0.388889
17,renewal_31,renewal,31,0.5,augmented_exact_k,3,4,6,0.5,0.444444,medium,0.111111,0.388889
17,renewal_31,renewal,31,0.25,at_least_k,3,7,21,0.333333,0.222222,medium,0.095238,0.238095
17,renewal_31,renewal,31,0.25,augmented_exact_k,3,4,6,0.166667,0.111111,low,0.055556,0.111111
17,renewal_4,renewal,4,1.0,at_least_k,1,1,0,0.0,0.0,low,0.0,0.0
