family_semantics,active_orientation_overlap_bin,support_width,family_size,rows,mean_overlap
at_least_k,low,1,1,2108,0.0
at_least_k,low,2,1,430,0.0
at_least_k,low,3,1,476,0.0
at_least_k,low,4,1,220,0.0
at_least_k,medium,2,3,430,0.333333
at_least_k,medium,3,4,238,0.5
at_least_k,medium,3,7,238,0.333333
at_least_k,medium,4,5,220,0.6
at_least_k,medium,4,11,220,0.436364
at_least_k,medium,4,15,220,0.333333
augmented_exact_k,low,1,1,2108,0.0
augmented_exact_k,low,2,1,430,0.0
augmented_exact_k,low,3,1,476,0.0
augmented_exact_k,low,3,4,238,0.166667
augmented_exact_k,low,4,1,220,0.0
augmented_exact_k,low,4,5,220,0.1
augmented_exact_k,medium,2,3,430,0.333333
augmented_exact_k,medium,3,4,238,0.5
augmented_exact_k,medium,4,5,220,0.6
augmented_exact_k,medium,4,7,220,0.333333
