run_seed,motif,threshold_fraction,family_semantics,same_cut_graph_tokens_stable,same_cut_member_indexed_tokens_stable,graph_surface_uses_member_index,bad_control_uses_member_index
17,renewal_1,1.0,at_least_k,True,False,False,True
17,renewal_1,1.0,augmented_exact_k,True,False,False,True
17,renewal_1,0.75,at_least_k,True,False,False,True
17,renewal_1,0.75,augmented_exact_k,True,False,False,True
17,renewal_1,0.5,at_least_k,True,False,False,True
17,renewal_1,0.5,augmented_exact_k,True,False,False,True
17,renewal_1,0.25,at_least_k,True,False,False,True
17,renewal_1,0.25,augmented_exact_k,True,False,False,True
17,renewal_27,1.0,at_least_k,True,False,False,True
17,renewal_27,1.0,augmented_exact_k,True,False,False,True
17,renewal_27,0.75,at_least_k,True,False,False,True
17,renewal_27,0.75,augmented_exact_k,True,False,False,True
17,renewal_27,0.5,at_least_k,True,False,False,True
17,renewal_27,0.5,augmented_exact_k,True,False,False,True
17,renewal_27,0.25,at_least_k,True,False,False,True
17,renewal_27,0.25,augmented_exact_k,True,False,False,True
17,renewal_18,1.0,at_least_k,True,False,False,True
17,renewal_18,1.0,augmented_exact_k,True,False,False,True
17,renewal_18,0.75,at_least_k,True,False,False,True
17,renewal_18,0.75,augmented_exact_k,True,False,False,True
17,renewal_18,0.5,at_least_k,True,False,False,True
17,renewal_18,0.5,augmented_exact_k,True,False,False,True
17,renewal_18,0.25,at_least_k,True,False,False,True
17,renewal_18,0.25,augmented_exact_k,True,False,False,True
17,renewal_8,1.0,at_least_k,True,False,False,True
17,renewal_8,1.0,augmented_exact_k,True,False,False,True
17,renewal_8,0.75,at_least_k,True,False,False,True
17,renewal_8,0.75,augmented_exact_k,True,False,False,True
17,renewal_8,0.5,at_least_k,True,False,False,True
17,renewal_8,0.5,augmented_exact_k,True,False,False,True
17,renewal_8,0.25,at_least_k,True,False,False,True
17,renewal_8,0.25,augmented_exact_k,True,False,False,True
17,renewal_2,1.0,at_least_k,True,False,False,True
17,renewal_2,1.0,augmented_exact_k,True,False,False,True
17,renewal_2,0.75,at_least_k,True,False,False,True
17,renewal_2,0.75,augmented_exact_k,True,False,False,True
17,renewal_2,0.5,at_least_k,True,False,False,True
17,renewal_2,0.5,augmented_exact_k,True,False,False,True
17,renewal_2,0.25,at_least_k,True,False,False,True
17,renewal_2,0.25,augmented_exact_k,True,False,False,True
17,renewal_32,1.0,at_least_k,True,False,False,True
17,renewal_32,1.0,augmented_exact_k,True,False,False,True
17,renewal_32,0.75,at_least_k,True,False,False,True
17,renewal_32,0.75,augmented_exact_k,True,False,False,True
17,renewal_32,0.5,at_least_k,True,False,False,True
17,renewal_32,0.5,augmented_exact_k,True,False,False,True
17,renewal_32,0.25,at_least_k,True,False,False,True
17,renewal_32,0.25,augmented_exact_k,True,False,False,True
17,renewal_21,1.0,at_least_k,True,False,False,True
17,renewal_21,1.0,augmented_exact_k,True,False,False,True
17,renewal_21,0.75,at_least_k,True,False,False,True
17,renewal_21,0.75,augmented_exact_k,True,False,False,True
17,renewal_21,0.5,at_least_k,True,False,False,True
17,renewal_21,0.5,augmented_exact_k,True,False,False,True
17,renewal_21,0.25,at_least_k,True,False,False,True
17,renewal_21,0.25,augmented_exact_k,True,False,False,True
17,renewal_13,1.0,at_least_k,True,False,False,True
17,renewal_13,1.0,augmented_exact_k,True,False,False,True
17,renewal_13,0.75,at_least_k,True,False,False,True
17,renewal_13,0.75,augmented_exact_k,True,False,False,True
17,renewal_13,0.5,at_least_k,True,False,False,True
17,renewal_13,0.5,augmented_exact_k,True,False,False,True
17,renewal_13,0.25,at_least_k,True,False,False,True
17,renewal_13,0.25,augmented_exact_k,True,False,False,True
17,renewal_3,1.0,at_least_k,True,False,False,True
17,renewal_3,1.0,augmented_exact_k,True,False,False,True
17,renewal_3,0.75,at_least_k,True,False,False,True
17,renewal_3,0.75,augmented_exact_k,True,False,False,True
17,renewal_3,0.5,at_least_k,True,False,False,True
17,renewal_3,0.5,augmented_exact_k,True,False,False,True
17,renewal_3,0.25,at_least_k,True,False,False,True
17,renewal_3,0.25,augmented_exact_k,True,False,False,True
17,renewal_31,1.0,at_least_k,True,False,False,True
17,renewal_31,1.0,augmented_exact_k,True,False,False,True
17,renewal_31,0.75,at_least_k,True,False,False,True
17,renewal_31,0.75,augmented_exact_k,True,False,False,True
17,renewal_31,0.5,at_least_k,True,False,False,True
17,renewal_31,0.5,augmented_exact_k,True,False,False,True
17,renewal_31,0.25,at_least_k,True,False,False,True
17,renewal_31,0.25,augmented_exact_k,True,False,False,True
17,renewal_4,1.0,at_least_k,True,False,False,True
17,renewal_4,1.0,augmented_exact_k,True,False,False,True
17,renewal_4,0.75,at_least_k,True,False,False,True
17,renewal_4,0.75,augmented_exact_k,True,False,False,True
17,renewal_4,0.5,at_least_k,True,False,False,True
17,renewal_4,0.5,augmented_exact_k,True,False,False,True
17,renewal_4,0.25,at_least_k,True,False,False,True
17,renewal_4,0.25,augmented_exact_k,True,False,False,True
17,renewal_5,1.0,at_least_k,True,False,False,True
17,renewal_5,1.0,augmented_exact_k,True,False,False,True
17,renewal_5,0.75,at_least_k,True,False,False,True
17,renewal_5,0.75,augmented_exact_k,True,False,False,True
17,renewal_5,0.5,at_least_k,True,False,False,True
17,renewal_5,0.5,augmented_exact_k,True,False,False,True
17,renewal_5,0.25,at_least_k,True,False,False,True
17,renewal_5,0.25,augmented_exact_k,True,False,False,True
18,renewal_1,1.0,at_least_k,True,False,False,True
18,renewal_1,1.0,augmented_exact_k,True,False,False,True
18,renewal_1,0.75,at_least_k,True,False,False,True
18,renewal_1,0.75,augmented_exact_k,True,False,False,True
18,renewal_1,0.5,at_least_k,True,False,False,True
18,renewal_1,0.5,augmented_exact_k,True,False,False,True
18,renewal_1,0.25,at_least_k,True,False,False,True
18,renewal_1,0.25,augmented_exact_k,True,False,False,True
18,renewal_12,1.0,at_least_k,True,False,False,True
18,renewal_12,1.0,augmented_exact_k,True,False,False,True
18,renewal_12,0.75,at_least_k,True,False,False,True
18,renewal_12,0.75,augmented_exact_k,True,False,False,True
18,renewal_12,0.5,at_least_k,True,False,False,True
18,renewal_12,0.5,augmented_exact_k,True,False,False,True
18,renewal_12,0.25,at_least_k,True,False,False,True
18,renewal_12,0.25,augmented_exact_k,True,False,False,True
18,renewal_28,1.0,at_least_k,True,False,False,True
