family_semantics,support_width,family_size,orientation_bins,rows,has_low_and_high,fixed_bin_discipline_required
at_least_k,1,1,low,2108,False,True
at_least_k,2,1,low,430,False,True
at_least_k,2,3,medium,430,False,True
at_least_k,3,1,low,476,False,True
at_least_k,3,4,medium,238,False,True
at_least_k,3,7,medium,238,False,True
at_least_k,4,1,low,220,False,True
at_least_k,4,5,medium,220,False,True
at_least_k,4,11,medium,220,False,True
at_least_k,4,15,medium,220,False,True
augmented_exact_k,1,1,low,2108,False,True
augmented_exact_k,2,1,low,430,False,True
augmented_exact_k,2,3,medium,430,False,True
augmented_exact_k,3,1,low,476,False,True
augmented_exact_k,3,4,low;medium,476,False,True
augmented_exact_k,4,1,low,220,False,True
augmented_exact_k,4,5,low;medium,440,False,True
augmented_exact_k,4,7,medium,220,False,True
