artifact_id,filename,type,status,artifact_role,supports_results,repo_relative_path,sha256,git_sha,path_observed,notes,migration_note,path,role
ART-TRACKB2-SOURCE,ra_active_graph_witness_extraction.py,py,packet_local_validated,analysis_source,RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,src/RA_AQFT/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/analysis/ra_active_graph_witness_extraction.py,09f7b5794921e8679878b4587f8e8b990a88b1540a042dd52da3d55907191332,,/mnt/data/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/analysis/ra_active_graph_witness_extraction.py,supports active-state graph/cut witness extraction,,analysis/ra_active_graph_witness_extraction.py,analysis_source
ART-TRACKB2-RUNNER,run_trackB_active_graph_witness_extraction.py,py,packet_local_validated,run_script,RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,src/RA_AQFT/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/scripts/run_trackB_active_graph_witness_extraction.py,d2a22d44bdf4ee616f742f26f1578831d75c774f7974e2e25a09abbc2e52afb5,,/mnt/data/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/scripts/run_trackB_active_graph_witness_extraction.py,runs active-state extraction,,scripts/run_trackB_active_graph_witness_extraction.py,run_script
ART-TRACKB2-README,README_RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026.md,md,packet_local_validated,packet_readme,RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,src/RA_AQFT/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/README_RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026.md,7ba60358f75eb7f5161c3771d1fb6d52b0104d24a9d553ebe1702e22cb891c0a,,/mnt/data/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/README_RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026.md,packet documentation,,README_RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026.md,packet_readme
ART-TRACKB2-NOTE,RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026.md,md,packet_local_validated,technical_note,RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,src/RA_AQFT/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/docs/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026.md,330de835cbff4db52dec02e7ac9fa2ef2b56d50464b11594a50293e21ba5cbde,,/mnt/data/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/docs/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026.md,technical note,,docs/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026.md,technical_note
ART-TRACKB2-TESTS,test_trackB_active_graph_witness_extraction.py,py,packet_local_validated,test_source,RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,src/RA_AQFT/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/tests/test_trackB_active_graph_witness_extraction.py,431e73ad34e9b99260344253a5130b51a448cce365d4db903457af07b175f9d7,,/mnt/data/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/tests/test_trackB_active_graph_witness_extraction.py,unit tests,,tests/test_trackB_active_graph_witness_extraction.py,test_source
ART-TRACKB2-VALIDATION,validation_unittest_trackB2.log,log,packet_local_validated,validation_log,RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,src/RA_AQFT/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/reports/validation_unittest_trackB2.log,5eef4983868bf8fd53cd561975f2f1f5a666d65bfa0d2e24d0628cf530cf14b8,,/mnt/data/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/reports/validation_unittest_trackB2.log,unit test validation,,reports/validation_unittest_trackB2.log,validation_log
ART-TRACKB2-SUMMARY,ra_trackB2_active_graph_witness_summary.csv,csv,packet_local_validated,simulation_output,RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,src/RA_AQFT/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/outputs/ra_trackB2_active_graph_witness_summary.csv,6f31c6e54530c0fe125267b4fb5c140c77e5907a363dad2921f67f7e860e0fef,,/mnt/data/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/outputs/ra_trackB2_active_graph_witness_summary.csv,packet local summary,,outputs/ra_trackB2_active_graph_witness_summary.csv,simulation_output
ART-TRACKB2-WITNESS,ra_trackB2_active_graph_witness_members.csv,csv,packet_local_validated,simulation_output,RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,src/RA_AQFT/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/outputs/ra_trackB2_active_graph_witness_members.csv,df12eafe08e9b0697b519b41ca876b2b8d29e4740911514ca5183241daba6b56,,/mnt/data/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/outputs/ra_trackB2_active_graph_witness_members.csv,member-level witness rows,,outputs/ra_trackB2_active_graph_witness_members.csv,simulation_output
ART-TRACKB2-OVERLAP,ra_trackB2_active_graph_orientation_overlap.csv,csv,packet_local_validated,simulation_output,RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,src/RA_AQFT/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/outputs/ra_trackB2_active_graph_orientation_overlap.csv,21e0854606fcc27094b5f17e9d6a136725dc3c89e130ab162f05f2f3fab6caa2,,/mnt/data/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/outputs/ra_trackB2_active_graph_orientation_overlap.csv,family overlap diagnostics,,outputs/ra_trackB2_active_graph_orientation_overlap.csv,simulation_output
ART-TRACKB2-AUDIT,ra_trackB2_member_index_audit.csv,csv,packet_local_validated,simulation_output,RA-SIM-GRAPH-CUT-WITNESS-ACTIVE-001,src/RA_AQFT/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/outputs/ra_trackB2_member_index_audit.csv,2937b62a36807e066d57d0653361047ac5079fa24eb850ef34b7132dc52ee3f4,,/mnt/data/RA_TrackB_ActiveSimulatorGraphWitnessExtraction_May06_2026/outputs/ra_trackB2_member_index_audit.csv,member-index audit,,outputs/ra_trackB2_member_index_audit.csv,simulation_output
