seed,steps,support_width_requested,family_size,all_pairs_orientation_jaccard,parent_anchored_orientation_jaccard,orientation_overlap_bin,bad_member_indexed_all_pairs_jaccard,member_index_delta
17,14,1,3,0.0,0.0,low,0.0,0.0
17,14,2,3,0.288889,0.333333,low,0.0,0.288889
17,14,3,4,0.213889,0.216667,low,0.066667,0.147222
17,14,4,5,0.23344,0.171795,low,0.02967,0.20377
18,14,1,3,0.0,0.0,low,0.0,0.0
18,14,2,3,0.233333,0.35,low,0.0,0.233333
18,14,3,4,0.098039,0.137255,low,0.068627,0.029412
18,14,4,4,0.158285,0.097222,low,0.048611,0.109674
19,14,1,3,0.0,0.0,low,0.0,0.0
19,14,2,3,0.111111,0.0,low,0.0,0.111111
19,14,3,5,0.165119,0.077381,low,0.014286,0.150833
19,14,4,5,0.311667,0.241667,low,0.046667,0.265
20,14,1,3,0.0,0.0,low,0.0,0.0
20,14,2,2,0.0,0.0,low,0.0,0.0
20,14,3,5,0.254495,0.245192,low,0.036111,0.218384
20,14,4,4,0.302893,0.391608,low,0.089744,0.21315
