seed,steps,support_width_requested,family_size,member_idx,cut_vertices,token_count,tokens_sample,graph_cut_derived,uses_member_index,orientation_source
17,14,1,3,0,11,2,in:7->11:d1:s1;in:9->11:d4:s0,True,False,graph_incidence_depth_through_links
17,14,1,3,1,12,1,in:8->12:d1:s1,True,False,graph_incidence_depth_through_links
17,14,1,3,2,13,2,in:1->13:d3:s1;in:8->13:d1:s1,True,False,graph_incidence_depth_through_links
17,14,2,3,0,13,2,in:1->13:d3:s1;in:8->13:d1:s1,True,False,graph_incidence_depth_through_links
17,14,2,3,1,11;12,3,in:7->11:d1:s1;in:8->12:d1:s1;in:9->11:d4:s0,True,False,graph_incidence_depth_through_links
17,14,2,3,2,12;13,3,in:1->13:d3:s1;in:8->12:d1:s1;in:8->13:d1:s1,True,False,graph_incidence_depth_through_links
17,14,3,4,0,13,2,in:1->13:d3:s1;in:8->13:d1:s1,True,False,graph_incidence_depth_through_links
17,14,3,4,1,10;11,3,in:5->10:d1:s1;in:7->11:d1:s1;in:9->11:d4:s0,True,False,graph_incidence_depth_through_links
17,14,3,4,2,9;12;13,8,in:0->9:d2:s0;in:1->13:d3:s1;in:1->9:d1:s1;in:8->12:d1:s1;in:8->13:d1:s1;out:9->11:d4:s1;through:0->9->11:turn0;through:1->9->11:turn2,True,False,graph_incidence_depth_through_links
17,14,3,4,3,11;12;13,5,in:1->13:d3:s1;in:7->11:d1:s1;in:8->12:d1:s1;in:8->13:d1:s1;in:9->11:d4:s0,True,False,graph_incidence_depth_through_links
17,14,4,5,0,13,2,in:1->13:d3:s1;in:8->13:d1:s1,True,False,graph_incidence_depth_through_links
17,14,4,5,1,8;13,10,in:0->8:d3:s1;in:1->13:d3:s1;in:2->8:d1:s1;in:8->13:d1:s1;out:8->12:d1:s0;out:8->13:d1:s0;through:0->8->12:turn1;through:0->8->13:turn1,True,False,graph_incidence_depth_through_links
17,14,4,5,2,9;10;11,8,in:0->9:d2:s0;in:1->9:d1:s1;in:5->10:d1:s1;in:7->11:d1:s1;in:9->11:d4:s0;out:9->11:d4:s1;through:0->9->11:turn0;through:1->9->11:turn2,True,False,graph_incidence_depth_through_links
17,14,4,5,3,8;11;12;13,13,in:0->8:d3:s1;in:1->13:d3:s1;in:2->8:d1:s1;in:7->11:d1:s1;in:8->12:d1:s1;in:8->13:d1:s1;in:9->11:d4:s0;out:8->12:d1:s0,True,False,graph_incidence_depth_through_links
17,14,4,5,4,10;11;12;13,6,in:1->13:d3:s1;in:5->10:d1:s1;in:7->11:d1:s1;in:8->12:d1:s1;in:8->13:d1:s1;in:9->11:d4:s0,True,False,graph_incidence_depth_through_links
18,14,1,3,0,11,7,in:3->11:d2:s0;in:6->11:d1:s1;in:8->11:d1:s1;out:11->12:d1:s0;through:3->11->12:turn0;through:6->11->12:turn2;through:8->11->12:turn2,True,False,graph_incidence_depth_through_links
18,14,1,3,1,12,7,in:11->12:d1:s1;in:3->12:d3:s1;in:4->12:d3:s1;out:12->13:d1:s0;through:11->12->13:turn2;through:3->12->13:turn1;through:4->12->13:turn1,True,False,graph_incidence_depth_through_links
18,14,1,3,2,13,3,in:10->13:d2:s0;in:12->13:d1:s1;in:2->13:d4:s0,True,False,graph_incidence_depth_through_links
18,14,2,3,0,12,7,in:11->12:d1:s1;in:3->12:d3:s1;in:4->12:d3:s1;out:12->13:d1:s0;through:11->12->13:turn2;through:3->12->13:turn1;through:4->12->13:turn1,True,False,graph_incidence_depth_through_links
18,14,2,3,1,10;11,14,in:1->10:d2:s0;in:3->10:d2:s0;in:3->11:d2:s0;in:5->10:d1:s1;in:6->11:d1:s1;in:8->11:d1:s1;out:10->13:d2:s1;out:11->12:d1:s0,True,False,graph_incidence_depth_through_links
18,14,2,3,2,12;13,10,in:10->13:d2:s0;in:11->12:d1:s1;in:12->13:d1:s1;in:2->13:d4:s0;in:3->12:d3:s1;in:4->12:d3:s1;out:12->13:d1:s0;through:11->12->13:turn2,True,False,graph_incidence_depth_through_links
18,14,3,4,0,12,7,in:11->12:d1:s1;in:3->12:d3:s1;in:4->12:d3:s1;out:12->13:d1:s0;through:11->12->13:turn2;through:3->12->13:turn1;through:4->12->13:turn1,True,False,graph_incidence_depth_through_links
18,14,3,4,1,13,3,in:10->13:d2:s0;in:12->13:d1:s1;in:2->13:d4:s0,True,False,graph_incidence_depth_through_links
18,14,3,4,2,9;10,9,in:1->10:d2:s0;in:3->10:d2:s0;in:4->9:d2:s0;in:5->10:d1:s1;in:6->9:d1:s1;out:10->13:d2:s1;through:1->10->13:turn1;through:3->10->13:turn1,True,False,graph_incidence_depth_through_links
18,14,3,4,3,11;12;13,17,in:10->13:d2:s0;in:11->12:d1:s1;in:12->13:d1:s1;in:2->13:d4:s0;in:3->11:d2:s0;in:3->12:d3:s1;in:4->12:d3:s1;in:6->11:d1:s1,True,False,graph_incidence_depth_through_links
18,14,4,4,0,12,7,in:11->12:d1:s1;in:3->12:d3:s1;in:4->12:d3:s1;out:12->13:d1:s0;through:11->12->13:turn2;through:3->12->13:turn1;through:4->12->13:turn1,True,False,graph_incidence_depth_through_links
18,14,4,4,1,8;9,5,in:2->8:d1:s1;in:4->9:d2:s0;in:6->9:d1:s1;out:8->11:d1:s0;through:2->8->11:turn2,True,False,graph_incidence_depth_through_links
18,14,4,4,2,8;9;10,12,in:1->10:d2:s0;in:2->8:d1:s1;in:3->10:d2:s0;in:4->9:d2:s0;in:5->10:d1:s1;in:6->9:d1:s1;out:10->13:d2:s1;out:8->11:d1:s0,True,False,graph_incidence_depth_through_links
18,14,4,4,3,10;11;12;13,24,in:1->10:d2:s0;in:10->13:d2:s0;in:11->12:d1:s1;in:12->13:d1:s1;in:2->13:d4:s0;in:3->10:d2:s0;in:3->11:d2:s0;in:3->12:d3:s1,True,False,graph_incidence_depth_through_links
19,14,1,3,0,11,3,in:10->11:d1:s1;in:5->11:d2:s0;in:6->11:d3:s1,True,False,graph_incidence_depth_through_links
19,14,1,3,1,12,1,in:0->12:d1:s1,True,False,graph_incidence_depth_through_links
19,14,1,3,2,13,2,in:3->13:d2:s0;in:5->13:d1:s1,True,False,graph_incidence_depth_through_links
19,14,2,3,0,11,3,in:10->11:d1:s1;in:5->11:d2:s0;in:6->11:d3:s1,True,False,graph_incidence_depth_through_links
19,14,2,3,1,10;13,5,in:3->13:d2:s0;in:5->13:d1:s1;in:9->10:d1:s1;out:10->11:d1:s0;through:9->10->11:turn2,True,False,graph_incidence_depth_through_links
19,14,2,3,2,12;13,3,in:0->12:d1:s1;in:3->13:d2:s0;in:5->13:d1:s1,True,False,graph_incidence_depth_through_links
19,14,3,5,0,12,1,in:0->12:d1:s1,True,False,graph_incidence_depth_through_links
19,14,3,5,1,9;10,6,in:3->9:d1:s1;in:9->10:d1:s1;out:10->11:d1:s0;out:9->10:d1:s0;through:3->9->10:turn2;through:9->10->11:turn2,True,False,graph_incidence_depth_through_links
19,14,3,5,2,9;13,5,in:3->13:d2:s0;in:3->9:d1:s1;in:5->13:d1:s1;out:9->10:d1:s0;through:3->9->10:turn2,True,False,graph_incidence_depth_through_links
19,14,3,5,3,10;11;12,7,in:0->12:d1:s1;in:10->11:d1:s1;in:5->11:d2:s0;in:6->11:d3:s1;in:9->10:d1:s1;out:10->11:d1:s0;through:9->10->11:turn2,True,False,graph_incidence_depth_through_links
19,14,3,5,4,11;12;13,6,in:0->12:d1:s1;in:10->11:d1:s1;in:3->13:d2:s0;in:5->11:d2:s0;in:5->13:d1:s1;in:6->11:d3:s1,True,False,graph_incidence_depth_through_links
19,14,4,5,0,11,3,in:10->11:d1:s1;in:5->11:d2:s0;in:6->11:d3:s1,True,False,graph_incidence_depth_through_links
19,14,4,5,1,8;13,5,in:0->8:d4:s0;in:3->13:d2:s0;in:4->8:d2:s0;in:5->13:d1:s1;in:5->8:d1:s1,True,False,graph_incidence_depth_through_links
19,14,4,5,2,9;10;11,9,in:10->11:d1:s1;in:3->9:d1:s1;in:5->11:d2:s0;in:6->11:d3:s1;in:9->10:d1:s1;out:10->11:d1:s0;out:9->10:d1:s0;through:3->9->10:turn2,True,False,graph_incidence_depth_through_links
19,14,4,5,3,9;10;11;12,10,in:0->12:d1:s1;in:10->11:d1:s1;in:3->9:d1:s1;in:5->11:d2:s0;in:6->11:d3:s1;in:9->10:d1:s1;out:10->11:d1:s0;out:9->10:d1:s0,True,False,graph_incidence_depth_through_links
19,14,4,5,4,10;11;12;13,9,in:0->12:d1:s1;in:10->11:d1:s1;in:3->13:d2:s0;in:5->11:d2:s0;in:5->13:d1:s1;in:6->11:d3:s1;in:9->10:d1:s1;out:10->11:d1:s0,True,False,graph_incidence_depth_through_links
20,14,1,3,0,11,3,in:10->11:d1:s1;in:3->11:d4:s0;in:4->11:d3:s1,True,False,graph_incidence_depth_through_links
