config_id,source,keying,mode,family_semantics,orientation_bin,support_width,family_size,rows,bin_rows,fraction
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,at_least_k,low,1,1,2108,3234,0.6518243661100804
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,at_least_k,low,2,1,430,3234,0.13296227581941866
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,at_least_k,low,3,1,476,3234,0.1471861471861472
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,at_least_k,low,4,1,220,3234,0.06802721088435375
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,at_least_k,medium,2,3,430,1566,0.27458492975734355
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,at_least_k,medium,3,4,238,1566,0.15197956577266922
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,at_least_k,medium,3,7,238,1566,0.15197956577266922
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,at_least_k,medium,4,5,220,1566,0.140485312899106
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,at_least_k,medium,4,11,220,1566,0.140485312899106
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,at_least_k,medium,4,15,220,1566,0.140485312899106
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,augmented_exact_k,low,1,1,2108,3692,0.570964247020585
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,augmented_exact_k,low,2,1,430,3692,0.11646803900325027
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,augmented_exact_k,low,3,1,476,3692,0.12892741061755147
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,augmented_exact_k,low,3,4,238,3692,0.06446370530877574
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,augmented_exact_k,low,4,1,220,3692,0.059588299024918745
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,augmented_exact_k,low,4,5,220,3692,0.059588299024918745
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,augmented_exact_k,medium,2,3,430,1108,0.388086642599278
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,augmented_exact_k,medium,3,4,238,1108,0.2148014440433213
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,augmented_exact_k,medium,4,5,220,1108,0.19855595667870035
outputs,trackB_active_graph_witness,graph_cut_member_index_free,coverage_only,augmented_exact_k,medium,4,7,220,1108,0.19855595667870035
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,at_least_k,high,2,3,1664,10800,0.15407407407407409
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,at_least_k,high,3,4,2142,10800,0.19833333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,at_least_k,high,3,7,1264,10800,0.11703703703703704
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,at_least_k,high,4,5,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,at_least_k,high,4,11,1980,10800,0.18333333333333332
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,at_least_k,high,4,15,1770,10800,0.1638888888888889
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,at_least_k,low,1,1,8373,10800,0.7752777777777777
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,at_least_k,low,2,1,1143,10800,0.10583333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,at_least_k,low,3,1,1284,10800,0.11888888888888889
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,at_least_k,medium,1,1,5856,10800,0.5422222222222223
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,at_least_k,medium,2,1,792,10800,0.07333333333333333
outputs,v1_7_matched_graph_keyed_trials,catalog_augmented_edge_pair,ledger_failure,at_least_k,medium,2,3,2206,10800,0.20425925925925925
