scenario,variant,p_acc,suppression_total,in_tension,constrained_by_extrapolation,field_maturity,confidence,measurement_precision_factor
atom_IF_Cs_fountain,D_uniform,0.404360,2.101561,1,0,mature,measured,0.100
atom_IF_Cs_fountain,D_multi_vertex_only,0.404360,1.018194,0,0,mature,measured,0.100
atom_IF_Cs_fountain,D_gas_only,0.404360,1.012056,0,0,mature,measured,0.100
atom_IF_Cs_fountain,D_BMV_specific,0.404360,1.012056,0,0,mature,measured,0.100
mol_IF_C60,D_uniform,0.404360,1.487214,1,0,mature,measured,0.100
mol_IF_C60,D_multi_vertex_only,0.404360,1.098112,0,0,mature,measured,0.100
mol_IF_C60,D_gas_only,0.404360,1.063337,0,0,mature,measured,0.100
mol_IF_C60,D_BMV_specific,0.404360,1.063337,0,0,mature,measured,0.100
mol_IF_oligoporphyrin,D_uniform,0.404360,2.303394,0,1,mature,theoretical_extrapolation,0.200
mol_IF_oligoporphyrin,D_multi_vertex_only,0.404360,1.807436,0,1,mature,theoretical_extrapolation,0.200
mol_IF_oligoporphyrin,D_gas_only,0.404360,1.487214,0,1,mature,theoretical_extrapolation,0.200
mol_IF_oligoporphyrin,D_BMV_specific,0.404360,1.487214,0,1,mature,theoretical_extrapolation,0.200
opto_levitated_silica,D_uniform,0.404360,2.303394,1,0,mature,measured,0.200
opto_levitated_silica,D_multi_vertex_only,0.404360,1.098112,0,0,mature,measured,0.200
opto_levitated_silica,D_gas_only,0.404360,1.063337,0,0,mature,measured,0.200
opto_levitated_silica,D_BMV_specific,0.404360,2.025497,1,0,mature,measured,0.200
opto_levitated_diamond_NV,D_uniform,0.404360,1.807436,0,0,speculative,theoretical_extrapolation,0.500
opto_levitated_diamond_NV,D_multi_vertex_only,0.404360,1.263382,0,0,speculative,theoretical_extrapolation,0.500
opto_levitated_diamond_NV,D_gas_only,0.404360,1.135239,0,0,speculative,theoretical_extrapolation,0.500
opto_levitated_diamond_NV,D_BMV_specific,0.404360,1.424136,0,0,speculative,theoretical_extrapolation,0.500
bmv_bose2017_nominal,D_uniform,0.404360,2.303394,0,0,speculative,theoretical_extrapolation,1.000
bmv_bose2017_nominal,D_multi_vertex_only,0.404360,2.155525,0,0,speculative,theoretical_extrapolation,1.000
bmv_bose2017_nominal,D_gas_only,0.404360,2.025497,0,0,speculative,theoretical_extrapolation,1.000
bmv_bose2017_nominal,D_BMV_specific,0.404360,2.025497,0,0,speculative,theoretical_extrapolation,1.000
carney_small_mass_proposal,D_uniform,0.404360,2.473044,0,0,speculative,uncharacterized,1.000
carney_small_mass_proposal,D_multi_vertex_only,0.404360,1.487214,0,0,speculative,uncharacterized,1.000
carney_small_mass_proposal,D_gas_only,0.404360,1.424136,0,0,speculative,uncharacterized,1.000
carney_small_mass_proposal,D_BMV_specific,0.404360,1.910263,0,0,speculative,uncharacterized,1.000
