gamma_per_s,tau_coh_s,C_max_quantized,N_max_quantized,t_at_peak_s_quantized,C_max_RA,N_max_RA
1.000000e-03,1.000000e+03,1.534394e-01,7.671969e-02,2.500000e+00,0.000000e+00,1.014840e-16
1.154782e-03,8.659643e+02,1.529942e-01,7.649709e-02,2.500000e+00,0.000000e+00,1.014840e-16
1.333521e-03,7.498942e+02,1.524805e-01,7.624023e-02,2.500000e+00,0.000000e+00,1.014840e-16
1.539927e-03,6.493816e+02,1.518878e-01,7.594388e-02,2.500000e+00,0.000000e+00,1.014840e-16
1.778279e-03,5.623413e+02,1.512040e-01,7.560202e-02,2.500000e+00,0.000000e+00,1.014840e-16
2.053525e-03,4.869675e+02,1.504154e-01,7.520772e-02,2.500000e+00,0.000000e+00,1.014840e-16
2.371374e-03,4.216965e+02,1.495060e-01,7.475301e-02,2.500000e+00,0.000000e+00,1.014840e-16
2.738420e-03,3.651741e+02,1.484575e-01,7.422876e-02,2.500000e+00,0.000000e+00,1.014840e-16
3.162278e-03,3.162278e+02,1.472490e-01,7.362448e-02,2.500000e+00,0.000000e+00,1.014840e-16
3.651741e-03,2.738420e+02,1.458563e-01,7.292816e-02,2.500000e+00,0.000000e+00,1.014840e-16
4.216965e-03,2.371374e+02,1.442520e-01,7.212602e-02,2.500000e+00,0.000000e+00,1.014840e-16
4.869675e-03,2.053525e+02,1.424047e-01,7.120236e-02,2.500000e+00,0.000000e+00,1.014840e-16
5.623413e-03,1.778279e+02,1.402784e-01,7.013921e-02,2.500000e+00,0.000000e+00,1.014840e-16
6.493816e-03,1.539927e+02,1.378323e-01,6.891615e-02,2.500000e+00,0.000000e+00,1.014840e-16
7.498942e-03,1.333521e+02,1.350199e-01,6.750993e-02,2.500000e+00,0.000000e+00,1.014840e-16
8.659643e-03,1.154782e+02,1.317885e-01,6.589423e-02,2.500000e+00,0.000000e+00,1.014840e-16
1.000000e-02,1.000000e+02,1.280785e-01,6.403927e-02,2.500000e+00,0.000000e+00,1.014840e-16
