model,t_s,delta_phi_rad,negativity,concurrence
quantized,0.000000e+00,0.000000e+00,1.014840e-16,0.000000e+00
quantized,5.000000e-02,-6.278690e-03,1.569670e-03,3.139338e-03
quantized,1.000000e-01,-1.255738e-02,3.139324e-03,6.278638e-03
quantized,1.500000e-01,-1.883607e-02,4.708948e-03,9.417889e-03
quantized,2.000000e-01,-2.511476e-02,6.278525e-03,1.255704e-02
quantized,2.500000e-01,-3.139345e-02,7.848040e-03,1.569608e-02
quantized,3.000000e-01,-3.767214e-02,9.417478e-03,1.883495e-02
quantized,3.500000e-01,-4.395083e-02,1.098682e-02,2.197364e-02
quantized,4.000000e-01,-5.022952e-02,1.255606e-02,2.511212e-02
quantized,4.500000e-01,-5.650821e-02,1.412517e-02,2.825034e-02
quantized,5.000000e-01,-6.278690e-02,1.569415e-02,3.138829e-02
quantized,5.500000e-01,-6.906559e-02,1.726297e-02,3.452592e-02
quantized,6.000000e-01,-7.534428e-02,1.883161e-02,3.766323e-02
quantized,6.500000e-01,-8.162297e-02,2.040008e-02,4.080015e-02
quantized,7.000000e-01,-8.790166e-02,2.196834e-02,4.393667e-02
quantized,7.500000e-01,-9.418035e-02,2.353639e-02,4.707276e-02
quantized,8.000000e-01,-1.004590e-01,2.510420e-02,5.020839e-02
quantized,8.500000e-01,-1.067377e-01,2.667177e-02,5.334352e-02
quantized,9.000000e-01,-1.130164e-01,2.823907e-02,5.647813e-02
quantized,9.500000e-01,-1.192951e-01,2.980610e-02,5.961219e-02
quantized,1.000000e+00,-1.255738e-01,3.137283e-02,6.274565e-02
quantized,1.050000e+00,-1.318525e-01,3.293925e-02,6.587849e-02
quantized,1.100000e+00,-1.381312e-01,3.450535e-02,6.901068e-02
quantized,1.150000e+00,-1.444099e-01,3.607110e-02,7.214220e-02
quantized,1.200000e+00,-1.506886e-01,3.763651e-02,7.527301e-02
quantized,1.250000e+00,-1.569672e-01,3.920154e-02,7.840307e-02
quantized,1.300000e+00,-1.632459e-01,4.076618e-02,8.153236e-02
quantized,1.350000e+00,-1.695246e-01,4.233043e-02,8.466084e-02
quantized,1.400000e+00,-1.758033e-01,4.389425e-02,8.778850e-02
quantized,1.450000e+00,-1.820820e-01,4.545764e-02,9.091528e-02
quantized,1.500000e+00,-1.883607e-01,4.702059e-02,9.404117e-02
quantized,1.550000e+00,-1.946394e-01,4.858307e-02,9.716614e-02
quantized,1.600000e+00,-2.009181e-01,5.014508e-02,1.002901e-01
quantized,1.650000e+00,-2.071968e-01,5.170658e-02,1.034132e-01
