environment,m_kg,T_s,gamma_decoh_per_s,unitary_peak_C,realistic_peak_C,discriminating
frozen_lab_um,1.000e-22,0.1,6.257e-02,8.0670e-13,0.0000e+00,0
frozen_lab_um,1.000e-22,1,6.257e-02,2.5686e-12,0.0000e+00,0
frozen_lab_um,1.000e-22,10,6.257e-02,1.4036e-11,0.0000e+00,0
frozen_lab_um,1.000e-22,100,6.257e-02,7.7804e-11,0.0000e+00,0
frozen_lab_um,1.000e-22,1e+03,6.257e-02,4.3755e-10,0.0000e+00,0
frozen_lab_um,3.162e-22,0.1,6.257e-02,2.4692e-12,0.0000e+00,0
frozen_lab_um,3.162e-22,1,6.257e-02,1.4036e-11,0.0000e+00,0
frozen_lab_um,3.162e-22,10,6.257e-02,7.7804e-11,0.0000e+00,0
frozen_lab_um,3.162e-22,100,6.257e-02,4.3756e-10,0.0000e+00,0
frozen_lab_um,3.162e-22,1e+03,6.257e-02,2.4610e-09,0.0000e+00,0
frozen_lab_um,1.000e-21,0.1,6.257e-02,1.3513e-11,0.0000e+00,0
frozen_lab_um,1.000e-21,1,6.257e-02,7.7780e-11,0.0000e+00,0
frozen_lab_um,1.000e-21,10,6.257e-02,4.3769e-10,0.0000e+00,0
frozen_lab_um,1.000e-21,100,6.257e-02,2.4609e-09,0.0000e+00,0
frozen_lab_um,1.000e-21,1e+03,6.257e-02,1.3839e-08,0.0000e+00,0
frozen_lab_um,3.162e-21,0.1,6.257e-02,7.7804e-11,0.0000e+00,0
frozen_lab_um,3.162e-21,1,6.257e-02,4.3756e-10,0.0000e+00,0
frozen_lab_um,3.162e-21,10,6.257e-02,2.4610e-09,0.0000e+00,0
frozen_lab_um,3.162e-21,100,6.257e-02,1.3839e-08,0.0000e+00,0
frozen_lab_um,3.162e-21,1e+03,6.257e-02,7.7819e-08,0.0000e+00,0
frozen_lab_um,1.000e-20,0.1,6.257e-02,4.3772e-10,0.0000e+00,0
frozen_lab_um,1.000e-20,1,6.257e-02,2.4609e-09,0.0000e+00,0
frozen_lab_um,1.000e-20,10,6.257e-02,1.3839e-08,0.0000e+00,0
frozen_lab_um,1.000e-20,100,6.257e-02,7.7820e-08,0.0000e+00,0
frozen_lab_um,1.000e-20,1e+03,6.257e-02,5.0116e-07,0.0000e+00,0
frozen_lab_um,3.162e-20,0.1,6.257e-02,2.4609e-09,0.0000e+00,0
frozen_lab_um,3.162e-20,1,6.257e-02,1.3839e-08,0.0000e+00,0
frozen_lab_um,3.162e-20,10,6.257e-02,7.7819e-08,0.0000e+00,0
frozen_lab_um,3.162e-20,100,6.257e-02,5.0115e-07,0.0000e+00,0
frozen_lab_um,3.162e-20,1e+03,6.257e-02,7.1533e-07,0.0000e+00,0
frozen_lab_um,1.000e-19,0.1,6.257e-02,1.3839e-08,0.0000e+00,0
frozen_lab_um,1.000e-19,1,6.257e-02,7.7820e-08,0.0000e+00,0
frozen_lab_um,1.000e-19,10,6.257e-02,5.0115e-07,0.0000e+00,0
frozen_lab_um,1.000e-19,100,6.257e-02,7.1533e-07,0.0000e+00,0
frozen_lab_um,1.000e-19,1e+03,6.257e-02,1.7106e-06,0.0000e+00,0
frozen_lab_um,3.162e-19,0.1,6.257e-02,7.7820e-08,0.0000e+00,0
frozen_lab_um,3.162e-19,1,6.257e-02,5.0115e-07,0.0000e+00,0
frozen_lab_um,3.162e-19,10,6.257e-02,7.1533e-07,0.0000e+00,0
frozen_lab_um,3.162e-19,100,6.257e-02,1.7106e-06,0.0000e+00,0
frozen_lab_um,3.162e-19,1e+03,6.257e-02,1.0540e-05,0.0000e+00,0
frozen_lab_um,1.000e-18,0.1,6.257e-02,5.0116e-07,0.0000e+00,0
frozen_lab_um,1.000e-18,1,6.257e-02,7.1533e-07,0.0000e+00,0
frozen_lab_um,1.000e-18,10,6.257e-02,1.7106e-06,0.0000e+00,0
frozen_lab_um,1.000e-18,100,6.257e-02,1.0540e-05,0.0000e+00,0
frozen_lab_um,1.000e-18,1e+03,6.257e-02,1.0547e-04,0.0000e+00,0
frozen_lab_um,3.162e-18,0.1,6.257e-02,7.1533e-07,0.0000e+00,0
frozen_lab_um,3.162e-18,1,6.257e-02,1.7106e-06,0.0000e+00,0
frozen_lab_um,3.162e-18,10,6.257e-02,1.0540e-05,0.0000e+00,0
frozen_lab_um,3.162e-18,100,6.257e-02,1.0547e-04,0.0000e+00,0
frozen_lab_um,3.162e-18,1e+03,6.257e-02,1.0548e-03,0.0000e+00,0
frozen_lab_um,1.000e-17,0.1,6.257e-02,1.7106e-06,0.0000e+00,0
frozen_lab_um,1.000e-17,1,6.257e-02,1.0540e-05,0.0000e+00,0
frozen_lab_um,1.000e-17,10,6.257e-02,1.0547e-04,0.0000e+00,0
frozen_lab_um,1.000e-17,100,6.257e-02,1.0548e-03,0.0000e+00,0
frozen_lab_um,1.000e-17,1e+03,6.257e-02,1.0548e-02,0.0000e+00,0
frozen_lab_um,3.162e-17,0.1,6.257e-02,1.0540e-05,0.0000e+00,0
frozen_lab_um,3.162e-17,1,6.257e-02,1.0547e-04,0.0000e+00,0
frozen_lab_um,3.162e-17,10,6.257e-02,1.0548e-03,0.0000e+00,0
frozen_lab_um,3.162e-17,100,6.257e-02,1.0548e-02,0.0000e+00,0
frozen_lab_um,3.162e-17,1e+03,6.257e-02,1.0529e-01,0.0000e+00,0
frozen_lab_um,1.000e-16,0.1,6.257e-02,1.0547e-04,0.0000e+00,0
frozen_lab_um,1.000e-16,1,6.257e-02,1.0548e-03,0.0000e+00,0
frozen_lab_um,1.000e-16,10,6.257e-02,1.0548e-02,0.0000e+00,0
frozen_lab_um,1.000e-16,100,6.257e-02,1.0529e-01,0.0000e+00,0
frozen_lab_um,1.000e-16,1e+03,6.257e-02,8.6981e-01,0.0000e+00,0
frozen_lab_um,3.162e-16,0.1,6.257e-02,1.0548e-03,0.0000e+00,0
frozen_lab_um,3.162e-16,1,6.257e-02,1.0548e-02,0.0000e+00,0
frozen_lab_um,3.162e-16,10,6.257e-02,1.0529e-01,0.0000e+00,0
frozen_lab_um,3.162e-16,100,6.257e-02,8.6981e-01,0.0000e+00,0
frozen_lab_um,3.162e-16,1e+03,6.257e-02,9.9993e-01,0.0000e+00,0
frozen_lab_um,1.000e-15,0.1,6.257e-02,1.0548e-02,4.2644e-03,0
frozen_lab_um,1.000e-15,1,6.257e-02,1.0529e-01,4.0089e-02,1
frozen_lab_um,1.000e-15,10,6.257e-02,8.6981e-01,1.4327e-01,1
frozen_lab_um,1.000e-15,100,6.257e-02,9.9993e-01,1.3554e-01,1
frozen_lab_um,1.000e-15,1e+03,6.257e-02,9.9995e-01,0.0000e+00,0
frozen_lab_um,3.162e-15,0.1,6.257e-02,1.0529e-01,9.8412e-02,1
frozen_lab_um,3.162e-15,1,6.257e-02,8.6981e-01,7.5825e-01,1
frozen_lab_um,3.162e-15,10,6.257e-02,9.9993e-01,8.2479e-01,1
frozen_lab_um,3.162e-15,100,6.257e-02,9.9995e-01,3.8644e-01,1
frozen_lab_um,3.162e-15,1e+03,6.257e-02,9.9876e-01,0.0000e+00,0
frozen_lab_um,1.000e-14,0.1,6.257e-02,8.6981e-01,8.5817e-01,1
frozen_lab_um,1.000e-14,1,6.257e-02,9.9993e-01,9.8130e-01,1
frozen_lab_um,1.000e-14,10,6.257e-02,9.9995e-01,7.8995e-01,1
frozen_lab_um,1.000e-14,100,6.257e-02,9.9876e-01,2.1937e-01,1
frozen_lab_um,1.000e-14,1e+03,6.257e-02,9.9818e-01,0.0000e+00,0
frozen_lab_um,3.162e-14,0.1,6.257e-02,9.9993e-01,9.9806e-01,1
frozen_lab_um,3.162e-14,1,6.257e-02,9.9995e-01,9.2766e-01,1
frozen_lab_um,3.162e-14,10,6.257e-02,9.9876e-01,8.5392e-01,1
frozen_lab_um,3.162e-14,100,6.257e-02,9.9818e-01,3.7110e-02,1
frozen_lab_um,3.162e-14,1e+03,6.257e-02,9.7854e-01,0.0000e+00,0
frozen_lab_um,1.000e-13,0.1,6.257e-02,9.9995e-01,9.9122e-01,1
frozen_lab_um,1.000e-13,1,6.257e-02,9.9876e-01,9.5938e-01,1
frozen_lab_um,1.000e-13,10,6.257e-02,9.9818e-01,7.7007e-01,1
frozen_lab_um,1.000e-13,100,6.257e-02,9.7854e-01,2.0104e-01,1
frozen_lab_um,1.000e-13,1e+03,6.257e-02,9.5034e-01,0.0000e+00,0
frozen_lab_um,3.162e-13,0.1,6.257e-02,9.9876e-01,9.9439e-01,1
frozen_lab_um,3.162e-13,1,6.257e-02,9.9818e-01,9.7341e-01,1
frozen_lab_um,3.162e-13,10,6.257e-02,9.7854e-01,8.3813e-01,1
frozen_lab_um,3.162e-13,100,6.257e-02,9.5034e-01,0.0000e+00,0
frozen_lab_um,3.162e-13,1e+03,6.257e-02,9.5730e-01,0.0000e+00,0
frozen_lab_um,1.000e-12,0.1,6.257e-02,9.9818e-01,9.9568e-01,1
frozen_lab_um,1.000e-12,1,6.257e-02,9.7854e-01,9.4268e-01,1
frozen_lab_um,1.000e-12,10,6.257e-02,9.5034e-01,2.0637e-01,1
frozen_lab_um,1.000e-12,100,6.257e-02,9.5730e-01,1.9665e-01,1
frozen_lab_um,1.000e-12,1e+03,6.257e-02,2.2996e-01,0.0000e+00,0
bose_ideal_um,1.000e-22,0.1,1.979e+01,8.0670e-13,0.0000e+00,0
bose_ideal_um,1.000e-22,1,1.979e+01,2.5686e-12,0.0000e+00,0
bose_ideal_um,1.000e-22,10,1.979e+01,1.4036e-11,0.0000e+00,0
bose_ideal_um,1.000e-22,100,1.979e+01,7.7804e-11,0.0000e+00,0
bose_ideal_um,1.000e-22,1e+03,1.979e+01,4.3755e-10,0.0000e+00,0
bose_ideal_um,3.162e-22,0.1,1.979e+01,2.4692e-12,0.0000e+00,0
bose_ideal_um,3.162e-22,1,1.979e+01,1.4036e-11,0.0000e+00,0
bose_ideal_um,3.162e-22,10,1.979e+01,7.7804e-11,0.0000e+00,0
