epsilon_env,z,sigma_Delta_alpha,Delta_alpha_perp_endpoint,Delta_alpha_par_endpoint,Delta_alpha_perp_obs,Delta_alpha_par_obs,SN_perp,SN_par,SN_combined_quadrature
0.100000,0.500000,0.020000,0.112611,0.160091,0.011261,0.016009,0.563057,0.800457,0.978655
0.100000,0.500000,0.040000,0.112611,0.160091,0.011261,0.016009,0.281528,0.400229,0.489327
0.100000,0.500000,0.060000,0.112611,0.160091,0.011261,0.016009,0.187686,0.266819,0.326218
0.100000,0.500000,0.080000,0.112611,0.160091,0.011261,0.016009,0.140764,0.200114,0.244664
0.100000,1.000000,0.020000,0.212870,0.257846,0.021287,0.025785,1.064349,1.289229,1.671811
0.100000,1.000000,0.040000,0.212870,0.257846,0.021287,0.025785,0.532175,0.644615,0.835905
0.100000,1.000000,0.060000,0.212870,0.257846,0.021287,0.025785,0.354783,0.429743,0.557270
0.100000,1.000000,0.080000,0.212870,0.257846,0.021287,0.025785,0.266087,0.322307,0.417953
0.100000,1.500000,0.020000,0.309058,0.341243,0.030906,0.034124,1.545291,1.706214,2.301975
0.100000,1.500000,0.040000,0.309058,0.341243,0.030906,0.034124,0.772645,0.853107,1.150988
0.100000,1.500000,0.060000,0.309058,0.341243,0.030906,0.034124,0.515097,0.568738,0.767325
0.100000,1.500000,0.080000,0.309058,0.341243,0.030906,0.034124,0.386323,0.426554,0.575494
0.200000,0.500000,0.020000,0.112611,0.160091,0.022522,0.032018,1.126113,1.600915,1.957309
0.200000,0.500000,0.040000,0.112611,0.160091,0.022522,0.032018,0.563057,0.800457,0.978655
0.200000,0.500000,0.060000,0.112611,0.160091,0.022522,0.032018,0.375371,0.533638,0.652436
0.200000,0.500000,0.080000,0.112611,0.160091,0.022522,0.032018,0.281528,0.400229,0.489327
0.200000,1.000000,0.020000,0.212870,0.257846,0.042574,0.051569,2.128698,2.578459,3.343622
0.200000,1.000000,0.040000,0.212870,0.257846,0.042574,0.051569,1.064349,1.289229,1.671811
0.200000,1.000000,0.060000,0.212870,0.257846,0.042574,0.051569,0.709566,0.859486,1.114541
0.200000,1.000000,0.080000,0.212870,0.257846,0.042574,0.051569,0.532175,0.644615,0.835905
0.200000,1.500000,0.020000,0.309058,0.341243,0.061812,0.068249,3.090581,3.412428,4.603950
0.200000,1.500000,0.040000,0.309058,0.341243,0.061812,0.068249,1.545291,1.706214,2.301975
0.200000,1.500000,0.060000,0.309058,0.341243,0.061812,0.068249,1.030194,1.137476,1.534650
0.200000,1.500000,0.080000,0.309058,0.341243,0.061812,0.068249,0.772645,0.853107,1.150988
0.300000,0.500000,0.020000,0.112611,0.160091,0.033783,0.048027,1.689170,2.401372,2.935964
0.300000,0.500000,0.040000,0.112611,0.160091,0.033783,0.048027,0.844585,1.200686,1.467982
0.300000,0.500000,0.060000,0.112611,0.160091,0.033783,0.048027,0.563057,0.800457,0.978655
0.300000,0.500000,0.080000,0.112611,0.160091,0.033783,0.048027,0.422292,0.600343,0.733991
0.300000,1.000000,0.020000,0.212870,0.257846,0.063861,0.077354,3.193048,3.867688,5.015433
0.300000,1.000000,0.040000,0.212870,0.257846,0.063861,0.077354,1.596524,1.933844,2.507716
0.300000,1.000000,0.060000,0.212870,0.257846,0.063861,0.077354,1.064349,1.289229,1.671811
0.300000,1.000000,0.080000,0.212870,0.257846,0.063861,0.077354,0.798262,0.966922,1.253858
0.300000,1.500000,0.020000,0.309058,0.341243,0.092717,0.102373,4.635872,5.118642,6.905926
0.300000,1.500000,0.040000,0.309058,0.341243,0.092717,0.102373,2.317936,2.559321,3.452963
0.300000,1.500000,0.060000,0.309058,0.341243,0.092717,0.102373,1.545291,1.706214,2.301975
0.300000,1.500000,0.080000,0.309058,0.341243,0.092717,0.102373,1.158968,1.279661,1.726481
0.500000,0.500000,0.020000,0.112611,0.160091,0.056306,0.080046,2.815283,4.002287,4.893273
0.500000,0.500000,0.040000,0.112611,0.160091,0.056306,0.080046,1.407642,2.001143,2.446636
0.500000,0.500000,0.060000,0.112611,0.160091,0.056306,0.080046,0.938428,1.334096,1.631091
0.500000,0.500000,0.080000,0.112611,0.160091,0.056306,0.080046,0.703821,1.000572,1.223318
0.500000,1.000000,0.020000,0.212870,0.257846,0.106435,0.128923,5.321746,6.446147,8.359054
0.500000,1.000000,0.040000,0.212870,0.257846,0.106435,0.128923,2.660873,3.223073,4.179527
0.500000,1.000000,0.060000,0.212870,0.257846,0.106435,0.128923,1.773915,2.148716,2.786351
0.500000,1.000000,0.080000,0.212870,0.257846,0.106435,0.128923,1.330437,1.611537,2.089764
0.500000,1.500000,0.020000,0.309058,0.341243,0.154529,0.170621,7.726454,8.531071,11.509876
0.500000,1.500000,0.040000,0.309058,0.341243,0.154529,0.170621,3.863227,4.265535,5.754938
0.500000,1.500000,0.060000,0.309058,0.341243,0.154529,0.170621,2.575485,2.843690,3.836625
0.500000,1.500000,0.080000,0.309058,0.341243,0.154529,0.170621,1.931613,2.132768,2.877469
1.000000,0.500000,0.020000,0.112611,0.160091,0.112611,0.160091,5.630566,8.004573,9.786545
1.000000,0.500000,0.040000,0.112611,0.160091,0.112611,0.160091,2.815283,4.002287,4.893273
1.000000,0.500000,0.060000,0.112611,0.160091,0.112611,0.160091,1.876855,2.668191,3.262182
1.000000,0.500000,0.080000,0.112611,0.160091,0.112611,0.160091,1.407642,2.001143,2.446636
1.000000,1.000000,0.020000,0.212870,0.257846,0.212870,0.257846,10.643492,12.892293,16.718109
1.000000,1.000000,0.040000,0.212870,0.257846,0.212870,0.257846,5.321746,6.446147,8.359054
1.000000,1.000000,0.060000,0.212870,0.257846,0.212870,0.257846,3.547831,4.297431,5.572703
1.000000,1.000000,0.080000,0.212870,0.257846,0.212870,0.257846,2.660873,3.223073,4.179527
1.000000,1.500000,0.020000,0.309058,0.341243,0.309058,0.341243,15.452907,17.062141,23.019752
1.000000,1.500000,0.040000,0.309058,0.341243,0.309058,0.341243,7.726454,8.531071,11.509876
1.000000,1.500000,0.060000,0.309058,0.341243,0.309058,0.341243,5.150969,5.687380,7.673251
1.000000,1.500000,0.080000,0.309058,0.341243,0.309058,0.341243,3.863227,4.265535,5.754938
